"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","er_tb_syst_pitm_process_item","pitm_ticket_no","Process Item Table","Ticket Number","char"
"dbo","er_tb_syst_pitm_process_item","pitm_row_id","Process Item Table","Row ID","numeric"
"dbo","er_tb_syst_pitm_process_item","extu_id","Process Item Table","External User ID","char"
"dbo","er_tb_syst_pitm_process_item","pitm_sts","Process Item Table","Status","int"
"dbo","er_tb_syst_pitm_process_item","pitm_req_sub_dtm","Process Item Table","Request Submission Datetime","datetime"
"dbo","er_tb_syst_pitm_process_item","pitm_pcs_beg_dtm","Process Item Table","Process Begin Datetime","datetime"
"dbo","er_tb_syst_pitm_process_item","pitm_pcs_end_dtm","Process Item Table","Process End Datetime","datetime"
"dbo","er_tb_syst_pitm_process_item","pitm_resp_rcvd_dtm","Process Item Table","Response Datetime","datetime"
"dbo","er_tb_syst_pitm_process_item","pitm_selection_id","Process Item Table","PITM Selection ID","varchar"
"dbo","er_tb_syst_pitm_process_item","sdsd_name","Process Item Table","Service Name","varchar"
"dbo","er_tb_syst_pitm_process_item","brcf_id","Process Item Table","Broker Configuration ID","varchar"
"dbo","er_tb_syst_pitm_process_item","pzpz_id","Process Item Table","Product ID","char"
"dbo","er_tb_syst_pitm_process_item","pzap_app_id","Process Item Table","Application ID","char"
