"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fin_brag_aggregate","sdsd_name","Broker Stats Aggregate Data table","Service Definition Name","varchar"
"dbo","fin_brag_aggregate","brks_call_sys_name","Broker Stats Aggregate Data table","Broker Transaction Calling System Name","varchar"
"dbo","fin_brag_aggregate","brks_app_server","Broker Stats Aggregate Data table","server","varchar"
"dbo","fin_brag_aggregate","brag_hr_aggr_dtm","Broker Stats Aggregate Data table","Service Call Time","datetime"
"dbo","fin_brag_aggregate","brag_nmbr_events","Broker Stats Aggregate Data table","Number of Events","int"
"dbo","fin_brag_aggregate","brag_nmbr_app_errors","Broker Stats Aggregate Data table","Application Errors","int"
"dbo","fin_brag_aggregate","brag_nmbr_sys_errors","Broker Stats Aggregate Data table","System Errors","int"
"dbo","fin_brag_aggregate","brag_total_duration_ms","Broker Stats Aggregate Data table","Duration Time","int"
"dbo","fin_brag_aggregate","brag_create_dtm","Broker Stats Aggregate Data table","Create Date","datetime"
"dbo","fin_brag_aggregate","brks_fend_route_info_nvl","Broker Stats Aggregate Data table","URI route without replacements","varchar"
