"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fin_brfc_forecast","brfc_forecast_dtm","Forecast table","Forcast Time","datetime"
"dbo","fin_brfc_forecast","sdsd_name","Forecast table","Service Definition Name","varchar"
"dbo","fin_brfc_forecast","brks_call_sys_name","Forecast table","Broker Transaction Calling System Name","varchar"
"dbo","fin_brfc_forecast","brks_app_server","Forecast table","server","varchar"
"dbo","fin_brfc_forecast","brfc_forecast_type","Forecast table","Forcast Type","char"
"dbo","fin_brfc_forecast","brfc_forecast_category","Forecast table","Forcast Time Unit","char"
"dbo","fin_brfc_forecast","brfc_forecast_lower","Forecast table","Lower Forcast","int"
"dbo","fin_brfc_forecast","brfc_forecast","Forecast table","Average Forecast","int"
"dbo","fin_brfc_forecast","brfc_forecast_upper","Forecast table","Upper Forcast","int"
"dbo","fin_brfc_forecast","brfc_is_displayable","Forecast table","Display Flag","bit"
"dbo","fin_brfc_forecast","brfc_create_dtm","Forecast table","Create Date","datetime"
