"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fin_brim_brks_iot_message","brks_row_id","BRKS Aggregations Source","Row Identifier","numeric"
"dbo","fin_brim_brks_iot_message","evev_id","BRKS Aggregations Source","Event ID","int"
"dbo","fin_brim_brks_iot_message","sdsd_name","BRKS Aggregations Source","Service Definition Name","varchar"
"dbo","fin_brim_brks_iot_message","brks_call_sys_name","BRKS Aggregations Source","Broker Transaction Calling System Name","varchar"
"dbo","fin_brim_brks_iot_message","brks_app_server","BRKS Aggregations Source","server","varchar"
"dbo","fin_brim_brks_iot_message","brks_brkr_beg_dtm","BRKS Aggregations Source","Broker Transaction Begin Date-time","datetime"
"dbo","fin_brim_brks_iot_message","brks_brkr_end_dtm","BRKS Aggregations Source","Broker Transaction End Date-time","datetime"
"dbo","fin_brim_brks_iot_message","brks_app_return_code","BRKS Aggregations Source","Broker Transaction App. Return Code","int"
"dbo","fin_brim_brks_iot_message","brks_sys_return_code","BRKS Aggregations Source","Broker Transaction Status Code","int"
"dbo","fin_brim_brks_iot_message","brim_create_dtm","BRKS Aggregations Source","Create Date","datetime"
"dbo","fin_brim_brks_iot_message","brks_fend_route_info_nvl","BRKS Aggregations Source","URI route without replacements","varchar"
"dbo","fin_brim_brks_iot_message","brks_fend_beg_dtm","BRKS Aggregations Source","Broker Front End Start Process Time","datetime"
"dbo","fin_brim_brks_iot_message","brks_fend_end_dtm","BRKS Aggregations Source","Broker Front End End Process Time","datetime"
