"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fin_clsc_claim_scoring","clcl_id","Claim Scoring table","Accident/Emergency Illness Amount","varchar"
"dbo","fin_clsc_claim_scoring","stin_beg_dtm","Claim Scoring table","Begin Time","datetime"
"dbo","fin_clsc_claim_scoring","stin_end_dtm","Claim Scoring table","End Time","datetime"
"dbo","fin_clsc_claim_scoring","clcl_drag_or_ind","Claim Scoring table","Accident/Emergency Illness Amount","char"
"dbo","fin_clsc_claim_scoring","clcl_wkfl_ignore","Claim Scoring table","Accident/Emergency Illness Amount","char"
"dbo","fin_clsc_claim_scoring","clsc_claim_score","Claim Scoring table","Claim Score","decimal"
"dbo","fin_clsc_claim_scoring","mcfg_claim_score_threshold","Claim Scoring table","Threshold Value","decimal"
"dbo","fin_clsc_claim_scoring","mcfg_thrshld_low","Claim Scoring table","Low Threshold Value","decimal"
"dbo","fin_clsc_claim_scoring","clsc_claim_score_label","Claim Scoring table","Claim Score Label","varchar"
"dbo","fin_clsc_claim_scoring","mcfg_thrshld_high","Claim Scoring table","High Threshold Value","decimal"
"dbo","fin_clsc_claim_scoring","clsc_label","Claim Scoring table","Label","varchar"
"dbo","fin_clsc_claim_scoring","clsc_fin_process_dtm","Claim Scoring table","Score Record Started","datetime"
"dbo","fin_clsc_claim_scoring","clsc_last_update_dtm","Claim Scoring table","Score Record Updated","datetime"
"dbo","fin_clsc_claim_scoring","meme_ck","Claim Scoring table","Member Contrived Key","int"
"dbo","fin_clsc_claim_scoring","clsc_create_dtm","Claim Scoring table","Create Date","datetime"
