"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fin_imbd_iot_msg_batch_dtl","imbd_region","System Batch Detail","Facets region","varchar"
"dbo","fin_imbd_iot_msg_batch_dtl","syin_inst","System Batch Detail","System Instance for this row","bigint"
"dbo","fin_imbd_iot_msg_batch_dtl","sybd_seq_no","System Batch Detail","Sequence Number","int"
"dbo","fin_imbd_iot_msg_batch_dtl","sybd_syin_inst_rel","System Batch Detail","Syin Instance Relation","bigint"
"dbo","fin_imbd_iot_msg_batch_dtl","sybd_type","System Batch Detail","Type","char"
"dbo","fin_imbd_iot_msg_batch_dtl","sybd_step_no","System Batch Detail","Step Number","varchar"
"dbo","fin_imbd_iot_msg_batch_dtl","sybd_step_desc","System Batch Detail","Syin Instance Relation","varchar"
"dbo","fin_imbd_iot_msg_batch_dtl","sybd_action_no","System Batch Detail","Action Number","varchar"
"dbo","fin_imbd_iot_msg_batch_dtl","sybd_action_desc","System Batch Detail","Action Description","varchar"
"dbo","fin_imbd_iot_msg_batch_dtl","sybd_exec_type","System Batch Detail","Exec Type","char"
"dbo","fin_imbd_iot_msg_batch_dtl","sybd_lock_token","System Batch Detail","Lock Token","smallint"
"dbo","fin_imbd_iot_msg_batch_dtl","sybd_return_code_nvl","System Batch Detail","Step/Action Return Code","int"
"dbo","fin_imbd_iot_msg_batch_dtl","atxr_source_id","System Batch Detail","Attachment Source Id","datetime"
"dbo","fin_imbd_iot_msg_batch_dtl","iotm_message_id","System Batch Detail","IoT Message ID that correlates to this row","char"
