"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fin_imbi_iot_msg_batch_info","imbi_region","System Batch Information","Facets region","varchar"
"dbo","fin_imbi_iot_msg_batch_info","syin_inst","System Batch Information","System Instance for this row","bigint"
"dbo","fin_imbi_iot_msg_batch_info","sybi_job_name","System Batch Information","Job Name","varchar"
"dbo","fin_imbi_iot_msg_batch_info","sybi_job_desc","System Batch Information","Job Description","varchar"
"dbo","fin_imbi_iot_msg_batch_info","sybi_proc_book","System Batch Information","Procedure Book","varchar"
"dbo","fin_imbi_iot_msg_batch_info","sybi_logical_id","System Batch Information","Logical Identifier","varchar"
"dbo","fin_imbi_iot_msg_batch_info","sybi_lock_token","System Batch Information","Lock Token","smallint"
"dbo","fin_imbi_iot_msg_batch_info","sybi_return_code_nvl","System Batch Information","SYBI Return Code","int"
"dbo","fin_imbi_iot_msg_batch_info","atxr_source_id","System Batch Information","Attachment Source Id","datetime"
"dbo","fin_imbi_iot_msg_batch_info","iotm_message_id","System Batch Information","IoT Message ID that correlates to this row","char"
