"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fin_imsi_iot_msg_syin_inst","imsi_region","System Instances","Facets Region","varchar"
"dbo","fin_imsi_iot_msg_syin_inst","syin_inst","System Instances","System Instance for this row","bigint"
"dbo","fin_imsi_iot_msg_syin_inst","spid","System Instances","Server Process ID","smallint"
"dbo","fin_imsi_iot_msg_syin_inst","pzpz_id","System Instances","Application Product ID","char"
"dbo","fin_imsi_iot_msg_syin_inst","pzap_app_id","System Instances","Application ID","char"
"dbo","fin_imsi_iot_msg_syin_inst","usap_version","System Instances","Setup Version","char"
"dbo","fin_imsi_iot_msg_syin_inst","syin_ref_id","System Instances","Reference ID","char"
"dbo","fin_imsi_iot_msg_syin_inst","syin_host","System Instances","Host Machine Name","varchar"
"dbo","fin_imsi_iot_msg_syin_inst","syin_host_pid","System Instances","Host process ID","varchar"
"dbo","fin_imsi_iot_msg_syin_inst","syin_sts","System Instances","Status","char"
"dbo","fin_imsi_iot_msg_syin_inst","syin_desc","System Instances","Description","char"
"dbo","fin_imsi_iot_msg_syin_inst","syin_parent_inst","System Instances","Parent Instance","bigint"
"dbo","fin_imsi_iot_msg_syin_inst","usus_id","System Instances","User Identifier","char"
"dbo","fin_imsi_iot_msg_syin_inst","syin_create_dtm","System Instances","Create date time","datetime"
"dbo","fin_imsi_iot_msg_syin_inst","syin_complete_dtm","System Instances","Complete Date time","datetime"
"dbo","fin_imsi_iot_msg_syin_inst","syin_lock_token","System Instances","Lock Token","smallint"
"dbo","fin_imsi_iot_msg_syin_inst","syin_pod_nvl","System Instances","Sign in POD","varchar"
"dbo","fin_imsi_iot_msg_syin_inst","syin_image_nvl","System Instances","Sign in Image","varchar"
"dbo","fin_imsi_iot_msg_syin_inst","syin_node_nvl","System Instances","Sign in Node","varchar"
"dbo","fin_imsi_iot_msg_syin_inst","syin_namespace_nvl","System Instances","Sign in Namespace","varchar"
"dbo","fin_imsi_iot_msg_syin_inst","iotm_message_id_beg","System Instances","IoT Begin Message ID","char"
"dbo","fin_imsi_iot_msg_syin_inst","iotm_message_id_end","System Instances","IoT End Message ID","char"
