"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fin_iotm_iot_msg","iotm_message_id","IoT Message","IoT Message ID","char"
"dbo","fin_iotm_iot_msg","iotm_version","IoT Message","Facets Version","varchar"
"dbo","fin_iotm_iot_msg","iotm_tenant_id","IoT Message","Tenant ID","varchar"
"dbo","fin_iotm_iot_msg","iotm_tenant_region","IoT Message","Facets Region","varchar"
"dbo","fin_iotm_iot_msg","iotm_producer","IoT Message","Message Producer","varchar"
"dbo","fin_iotm_iot_msg","iotm_activity_id","IoT Message","Activity ID","char"
"dbo","fin_iotm_iot_msg","iotm_timing","IoT Message","Message Timing","char"
"dbo","fin_iotm_iot_msg","evev_id","IoT Message","Event ID","int"
"dbo","fin_iotm_iot_msg","evct_cat","IoT Message","Event Category","varchar"
"dbo","fin_iotm_iot_msg","evev_name","IoT Message","Event Name","varchar"
"dbo","fin_iotm_iot_msg","evdt_name","IoT Message","Event Data Name","varchar"
"dbo","fin_iotm_iot_msg","syin_inst","IoT Message","System Instance for this row","bigint"
"dbo","fin_iotm_iot_msg","syin_inst_caller","IoT Message","The SYIN_INST value of the application that invokes the application producing the message.","bigint"
"dbo","fin_iotm_iot_msg","usus_id","IoT Message","User Identifier","varchar"
"dbo","fin_iotm_iot_msg","pzap_app_id","IoT Message","Application ID","char"
"dbo","fin_iotm_iot_msg","iotm_create_date","IoT Message","IoT Message Create Date","datetime"
