"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fin_mdin_model_instance","mdin_id","Trained Model Instances","Model Instance ID","numeric"
"dbo","fin_mdin_model_instance","mlmd_id","Trained Model Instances","Model ID","numeric"
"dbo","fin_mdin_model_instance","inds_id","Trained Model Instances","Dataset ID","numeric"
"dbo","fin_mdin_model_instance","mdin_features","Trained Model Instances","Model Instance Features","nvarchar"
"dbo","fin_mdin_model_instance","mdin_parameters","Trained Model Instances","Model Instance Parameters","nvarchar"
"dbo","fin_mdin_model_instance","mdin_metadata","Trained Model Instances","Model Instance Metadata","nvarchar"
"dbo","fin_mdin_model_instance","mdin_training_perf","Trained Model Instances","Model Instance Performance Metrics","nvarchar"
"dbo","fin_mdin_model_instance","mdin_preprocessor","Trained Model Instances","Model Instance Preprocessor","varbinary"
"dbo","fin_mdin_model_instance","mdin_estimator","Trained Model Instances","Model Instance Estimator","varbinary"
"dbo","fin_mdin_model_instance","mdin_create_dtm","Trained Model Instances","Model Instance Create Datatime","datetime"
"dbo","fin_mdin_model_instance","mdin_active_ind_nvl","Trained Model Instances","Model Instance Active indicator","char"
