"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fin_pmsr_prov_match_scoring","pmsr_id","Provider Match Model Scores","Provider Match Score ID","numeric"
"dbo","fin_pmsr_prov_match_scoring","mdin_id","Provider Match Model Scores","Model Instance ID","numeric"
"dbo","fin_pmsr_prov_match_scoring","clcl_id","Provider Match Model Scores","Claim ID","char"
"dbo","fin_pmsr_prov_match_scoring","prpr_id","Provider Match Model Scores","Provider ID","char"
"dbo","fin_pmsr_prov_match_scoring","pmsr_true_value","Provider Match Model Scores","Provider Match Score True Value","int"
"dbo","fin_pmsr_prov_match_scoring","pmsr_pred_value","Provider Match Model Scores","Provider Match Score Predicted Value","int"
"dbo","fin_pmsr_prov_match_scoring","pmsr_pred_proba","Provider Match Model Scores","Provider Match Score Predicted Probability","nvarchar"
"dbo","fin_pmsr_prov_match_scoring","pmsr_rec_action","Provider Match Model Scores","Provider Match Score Recommended Action","nvarchar"
"dbo","fin_pmsr_prov_match_scoring","pmsr_evaluated","Provider Match Model Scores","Provider Match Score Evaluated Indicator","bit"
"dbo","fin_pmsr_prov_match_scoring","pmsr_last_update_dtm","Provider Match Model Scores","Provider Match Score Last Updated Datetime","datetime"
"dbo","fin_pmsr_prov_match_scoring","pmsr_create_dtm","Provider Match Model Scores","Provider Match Score Create Datetime","datetime"
