"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cdcb_li_cob","pubh_cdcb_row_id","COB Data Line Item","PUBH_CDCB_ROW_ID","numeric"
"dbo","pub_cdcb_li_cob","pubh_guid","COB Data Line Item","Globally Unique Identifier","char"
"dbo","pub_cdcb_li_cob","pubh_action_cd","COB Data Line Item","Data Pub Action Code","char"
"dbo","pub_cdcb_li_cob","pubh_lsn","COB Data Line Item","Log Sequence Number","varbinary"
"dbo","pub_cdcb_li_cob","pubh_seq_val","COB Data Line Item","Transaction Sequence","varbinary"
"dbo","pub_cdcb_li_cob","clcl_id","COB Data Line Item","Claim Identifier","char"
"dbo","pub_cdcb_li_cob","cdml_seq_no","COB Data Line Item","Medical Line-Item Sequence Number","smallint"
"dbo","pub_cdcb_li_cob","meme_ck","COB Data Line Item","Member Contrived Key","int"
"dbo","pub_cdcb_li_cob","cdcb_cob_type","COB Data Line Item","COB/Medicare Type","char"
"dbo","pub_cdcb_li_cob","cdcb_pro_rate_ind","COB Data Line Item","COB/Medicare Proration Indicator","char"
"dbo","pub_cdcb_li_cob","cdcb_cob_amt","COB Data Line Item","COB/Medicare Paid Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_cob_disallow","COB Data Line Item","COB/Medicare Disallow Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_cob_allow","COB Data Line Item","COB/Medicare (Higher/Lower) Allowable Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_adj_amt","COB Data Line Item","COB/Medicare Adjustment Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_subtract_amt","COB Data Line Item","COB/Medicare Subtraction Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_cob_sav","COB Data Line Item","COB/Medicare Savings Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_cob_app","COB Data Line Item","COB/Medicare Applied Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_cob_oop","COB Data Line Item","COB/Medicare Out-Of-Pocket Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_cob_sanction","COB Data Line Item","Other Carrier Sanction Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_cob_ded_amt","COB Data Line Item","Other Carrier Deductible Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_cob_copay_amt","COB Data Line Item","Other Carrier Copay","money"
"dbo","pub_cdcb_li_cob","cdcb_cob_reas_cd","COB Data Line Item","Other Carrier Reason Code","varchar"
"dbo","pub_cdcb_li_cob","cdcb_cob_coins_amt","COB Data Line Item","Other Carrier Coinsurance Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_allow_pri","COB Data Line Item","Primary Calculation Allowable","money"
"dbo","pub_cdcb_li_cob","cdcb_ded_amt_pri","COB Data Line Item","Primary Calculation Deductible","money"
"dbo","pub_cdcb_li_cob","cdcb_coins_amt_pri","COB Data Line Item","Primary Calculation Coinsurance","money"
"dbo","pub_cdcb_li_cob","cdcb_copay_amt_pri","COB Data Line Item","Primary Calculation Copayment","money"
"dbo","pub_cdcb_li_cob","cdcb_paid_amt_pri","COB Data Line Item","Primary Calculation Paid Amount","money"
"dbo","pub_cdcb_li_cob","cdcb_lock_token","COB Data Line Item","Lock Token","smallint"
