"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cdcc_carc_code","pubh_cdcc_row_id","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Row Identifier","numeric"
"dbo","pub_cdcc_carc_code","pubh_guid","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Globally Unique Identifier","char"
"dbo","pub_cdcc_carc_code","pubh_action_cd","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Data Pub Action Code","char"
"dbo","pub_cdcc_carc_code","pubh_lsn","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Log Sequence Number","varbinary"
"dbo","pub_cdcc_carc_code","pubh_seq_val","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Transaction Sequence","varbinary"
"dbo","pub_cdcc_carc_code","clcl_id","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Accident/Emergency Illness Amount","char"
"dbo","pub_cdcc_carc_code","cdml_seq_no","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Medical Claim Sequence Number","smallint"
"dbo","pub_cdcc_carc_code","cdcc_seq_no","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","CARC Sequence Number","int"
"dbo","pub_cdcc_carc_code","cdcc_payer_resp_cd","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Payer Responsibility Sequence Number","char"
"dbo","pub_cdcc_carc_code","cdcc_payer_id","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Other Payer ID","varchar"
"dbo","pub_cdcc_carc_code","meme_ck","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Member Contrived Key","int"
"dbo","pub_cdcc_carc_code","cdcc_oc_reas_code","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Other Carrier Reason (CARC) Code","char"
"dbo","pub_cdcc_carc_code","cdcc_oc_grp_cd","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Adjustment Group Code","char"
"dbo","pub_cdcc_carc_code","cdcc_dollars","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","CARC Dollars","money"
"dbo","pub_cdcc_carc_code","cdcc_units","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","CARC Units","money"
"dbo","pub_cdcc_carc_code","cdcc_lock_token","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Lock Token","smallint"
"dbo","pub_cdcc_carc_code","atxr_source_id","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Attachment Source Id","datetime"
"dbo","pub_cdcc_carc_code","sys_last_upd_dtm","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Last Update Datetime","datetime"
"dbo","pub_cdcc_carc_code","sys_usus_id","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Last Update User ID","varchar"
"dbo","pub_cdcc_carc_code","sys_dbuser_id","Medical Claim Line COB CARC (Claim Adjustment Reason Code) Table","Last Update DBMS User ID","varchar"
