"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cddf_fsa_xref","pubh_cddf_row_id","FSA Dental Cross Reference Table","PUBH_CDDF_ROW_ID","numeric"
"dbo","pub_cddf_fsa_xref","pubh_guid","FSA Dental Cross Reference Table","Globally Unique Identifier","char"
"dbo","pub_cddf_fsa_xref","pubh_action_cd","FSA Dental Cross Reference Table","Data Pub Action Code","char"
"dbo","pub_cddf_fsa_xref","pubh_lsn","FSA Dental Cross Reference Table","Log Sequence Number","varbinary"
"dbo","pub_cddf_fsa_xref","pubh_seq_val","FSA Dental Cross Reference Table","Transaction Sequence","varbinary"
"dbo","pub_cddf_fsa_xref","clcl_id","FSA Dental Cross Reference Table","Claim Identifier","char"
"dbo","pub_cddf_fsa_xref","cddl_seq_no","FSA Dental Cross Reference Table","Claim Line Sequence Number","smallint"
"dbo","pub_cddf_fsa_xref","meme_ck","FSA Dental Cross Reference Table","Member Contrived Key","int"
"dbo","pub_cddf_fsa_xref","cddf_expns_amt","FSA Dental Cross Reference Table","FSA Claim Expense Amount","money"
"dbo","pub_cddf_fsa_xref","cddf_paid_amt","FSA Dental Cross Reference Table","FSA claim paid amount","money"
"dbo","pub_cddf_fsa_xref","cddf_disall_excd","FSA Dental Cross Reference Table","FSA disallow Explanation Code for the line item","char"
"dbo","pub_cddf_fsa_xref","cgcg_fsa_reimb_ind","FSA Dental Cross Reference Table","FSA reimbursement indicator","char"
"dbo","pub_cddf_fsa_xref","cddf_lock_token","FSA Dental Cross Reference Table","Lock Token","smallint"
"dbo","pub_cddf_fsa_xref","atxr_source_id","FSA Dental Cross Reference Table","Attachment Source Id","datetime"
