"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cdfo_cdfl_ovr","pubh_cdfo_row_id","FSA Line Item Override Table","PUBH_CDFO_ROW_ID","numeric"
"dbo","pub_cdfo_cdfl_ovr","pubh_guid","FSA Line Item Override Table","Globally Unique Identifier","char"
"dbo","pub_cdfo_cdfl_ovr","pubh_action_cd","FSA Line Item Override Table","Data Pub Action Code","char"
"dbo","pub_cdfo_cdfl_ovr","pubh_lsn","FSA Line Item Override Table","Log Sequence Number","varbinary"
"dbo","pub_cdfo_cdfl_ovr","pubh_seq_val","FSA Line Item Override Table","Transaction Sequence","varbinary"
"dbo","pub_cdfo_cdfl_ovr","clcl_id","FSA Line Item Override Table","Claim Identifier","char"
"dbo","pub_cdfo_cdfl_ovr","cdfl_seq_no","FSA Line Item Override Table","Claim line sequence number","smallint"
"dbo","pub_cdfo_cdfl_ovr","cdfo_or_id","FSA Line Item Override Table","Claim Override Type","char"
"dbo","pub_cdfo_cdfl_ovr","meme_ck","FSA Line Item Override Table","Member Contrived Key","int"
"dbo","pub_cdfo_cdfl_ovr","cdfo_or_amt","FSA Line Item Override Table","Line Item Override Amount","money"
"dbo","pub_cdfo_cdfl_ovr","cdfo_or_value","FSA Line Item Override Table","Line Item Override Value","varchar"
"dbo","pub_cdfo_cdfl_ovr","cdfo_or_dt","FSA Line Item Override Table","Line Item Override Date","datetime"
"dbo","pub_cdfo_cdfl_ovr","excd_id","FSA Line Item Override Table","Line Item Override Explanation Code","char"
"dbo","pub_cdfo_cdfl_ovr","cdfo_or_usid","FSA Line Item Override Table","Line Item Override User Identifier","char"
"dbo","pub_cdfo_cdfl_ovr","cdfo_auto_gen","FSA Line Item Override Table","Auto Generated Override Indicator","char"
"dbo","pub_cdfo_cdfl_ovr","cdfo_lock_token","FSA Line Item Override Table","Lock Token","smallint"
