"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cdhl_hsa_line","pubh_cdhl_row_id","HRA Line Level Table","PUBH_CDHL_ROW_ID","numeric"
"dbo","pub_cdhl_hsa_line","pubh_guid","HRA Line Level Table","Globally Unique Identifier","char"
"dbo","pub_cdhl_hsa_line","pubh_action_cd","HRA Line Level Table","Data Pub Action Code","char"
"dbo","pub_cdhl_hsa_line","pubh_lsn","HRA Line Level Table","Log Sequence Number","varbinary"
"dbo","pub_cdhl_hsa_line","pubh_seq_val","HRA Line Level Table","Transaction Sequence","varbinary"
"dbo","pub_cdhl_hsa_line","clcl_id","HRA Line Level Table","Claim Identifier","char"
"dbo","pub_cdhl_hsa_line","cdml_seq_no","HRA Line Level Table","Claim Line Sequence Number","smallint"
"dbo","pub_cdhl_hsa_line","meme_ck","HRA Line Level Table","Member Contrived Key","int"
"dbo","pub_cdhl_hsa_line","cdhl_consider_amt","HRA Line Level Table","Amount Considered","money"
"dbo","pub_cdhl_hsa_line","cdhl_nonconsdr_amt","HRA Line Level Table","Amount Not Considered","money"
"dbo","pub_cdhl_hsa_line","cdhl_disall_amt","HRA Line Level Table","Amount Disallowed","money"
"dbo","pub_cdhl_hsa_line","excd_id","HRA Line Level Table","Explanation Code","char"
"dbo","pub_cdhl_hsa_line","cdhl_paid_amt","HRA Line Level Table","Paid Amount","money"
"dbo","pub_cdhl_hsa_line","cdhl_sb_pymt_amt","HRA Line Level Table","Subscriber Paid Amount","money"
"dbo","pub_cdhl_hsa_line","cdhl_pr_pymt_amt","HRA Line Level Table","Provider Payment Amount","money"
"dbo","pub_cdhl_hsa_line","lobd_id","HRA Line Level Table","Line of Business ID","char"
"dbo","pub_cdhl_hsa_line","cdhl_hsa_pcs_ind","HRA Line Level Table","HRA Processing Indicator","char"
"dbo","pub_cdhl_hsa_line","dede_pfx","HRA Line Level Table","HRA Deductible Prefix","char"
"dbo","pub_cdhl_hsa_line","cdhl_ded_amt","HRA Line Level Table","HRA Deductible Amount","money"
"dbo","pub_cdhl_hsa_line","cdhl_ded_acc_no","HRA Line Level Table","HRA Deductible Accumulator Number","smallint"
"dbo","pub_cdhl_hsa_line","cdhl_lock_token","HRA Line Level Table","Lock Token","smallint"
"dbo","pub_cdhl_hsa_line","atxr_source_id","HRA Line Level Table","Attachment Source Id","datetime"
