"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cdid_data","pubh_cdid_row_id","Interim Data","PUBH_CDID_ROW_ID","numeric"
"dbo","pub_cdid_data","pubh_guid","Interim Data","Globally Unique Identifier","char"
"dbo","pub_cdid_data","pubh_action_cd","Interim Data","Data Pub Action Code","char"
"dbo","pub_cdid_data","pubh_lsn","Interim Data","Log Sequence Number","varbinary"
"dbo","pub_cdid_data","pubh_seq_val","Interim Data","Transaction Sequence","varbinary"
"dbo","pub_cdid_data","clcl_id","Interim Data","Claim Identifier","char"
"dbo","pub_cdid_data","cdml_seq_no","Interim Data","Claim Line Sequence Number","smallint"
"dbo","pub_cdid_data","cdid_type","Interim Data","N/A","char"
"dbo","pub_cdid_data","cdid_seq_no","Interim Data","Sequence Number","smallint"
"dbo","pub_cdid_data","meme_ck","Interim Data","Member Contrived Key","int"
"dbo","pub_cdid_data","cdid_value_amt","Interim Data","N/A","money"
"dbo","pub_cdid_data","cdid_value_int","Interim Data","N/A","int"
"dbo","pub_cdid_data","cdid_value_string","Interim Data","N/A","char"
"dbo","pub_cdid_data","cdid_value_date","Interim Data","N/A","datetime"
"dbo","pub_cdid_data","cdid_addl_data","Interim Data","Additional Data","varchar"
"dbo","pub_cdid_data","cdid_addl_data_1","Interim Data","Additional Data 1","varchar"
"dbo","pub_cdid_data","cdid_addl_data_2","Interim Data","Additional Data 2","varchar"
"dbo","pub_cdid_data","cdid_addl_data_3","Interim Data","Additional Data 3","varchar"
"dbo","pub_cdid_data","cdid_addl_data_4","Interim Data","Additional Data 4","varchar"
"dbo","pub_cdid_data","cdid_addl_data_5","Interim Data","Additional Data 5","varchar"
"dbo","pub_cdid_data","cdid_lock_token","Interim Data","Lock Token","smallint"
"dbo","pub_cdid_data","atxr_source_id","Interim Data","Attachment Source Id","datetime"
