"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cdim_l_its_msg","pubh_cdim_row_id","ITS Line Item Message Table","PUBH_CDIM_ROW_ID","numeric"
"dbo","pub_cdim_l_its_msg","pubh_guid","ITS Line Item Message Table","Globally Unique Identifier","char"
"dbo","pub_cdim_l_its_msg","pubh_action_cd","ITS Line Item Message Table","Data Pub Action Code","char"
"dbo","pub_cdim_l_its_msg","pubh_lsn","ITS Line Item Message Table","Log Sequence Number","varbinary"
"dbo","pub_cdim_l_its_msg","pubh_seq_val","ITS Line Item Message Table","Transaction Sequence","varbinary"
"dbo","pub_cdim_l_its_msg","clcl_id","ITS Line Item Message Table","Claim ID","char"
"dbo","pub_cdim_l_its_msg","cdml_seq_no","ITS Line Item Message Table","N/A","smallint"
"dbo","pub_cdim_l_its_msg","cdim_typ","ITS Line Item Message Table","Type","char"
"dbo","pub_cdim_l_its_msg","cdim_its_msg_cd","ITS Line Item Message Table","Message Code","char"
"dbo","pub_cdim_l_its_msg","meme_ck","ITS Line Item Message Table","Member Contrived Key","int"
"dbo","pub_cdim_l_its_msg","cdim_mapping_ind","ITS Line Item Message Table","Claim Mapping","char"
"dbo","pub_cdim_l_its_msg","cdim_amt","ITS Line Item Message Table","Amount","money"
"dbo","pub_cdim_l_its_msg","cdim_pct","ITS Line Item Message Table","ITS Special Pricing Percentage","money"
"dbo","pub_cdim_l_its_msg","cdim_value","ITS Line Item Message Table","Value","varchar"
"dbo","pub_cdim_l_its_msg","cdim_addl_data","ITS Line Item Message Table","Additional Data","varchar"
"dbo","pub_cdim_l_its_msg","cdim_lock_token","ITS Line Item Message Table","Lock Token","smallint"
