"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cdmp_med_prcng","pubh_cdmp_row_id","Pricing Indicator Table","ROW_ID","numeric"
"dbo","pub_cdmp_med_prcng","pubh_guid","Pricing Indicator Table","Globally Unique Identifier","char"
"dbo","pub_cdmp_med_prcng","pubh_action_cd","Pricing Indicator Table","Data Pub Action Code","char"
"dbo","pub_cdmp_med_prcng","pubh_lsn","Pricing Indicator Table","Log Sequence Number","varbinary"
"dbo","pub_cdmp_med_prcng","pubh_seq_val","Pricing Indicator Table","Transaction Sequence","varbinary"
"dbo","pub_cdmp_med_prcng","clcl_id","Pricing Indicator Table","Claim ID","char"
"dbo","pub_cdmp_med_prcng","cdml_seq_no","Pricing Indicator Table","N/A","smallint"
"dbo","pub_cdmp_med_prcng","meme_ck","Pricing Indicator Table","Member Contrived Key","int"
"dbo","pub_cdmp_med_prcng","cdmp_loc_type","Pricing Indicator Table","Location Type","char"
"dbo","pub_cdmp_med_prcng","cdmp_agag_prce_ind","Pricing Indicator Table","Agreement IP/OP Price","char"
"dbo","pub_cdmp_med_prcng","cdmp_agag_acp_ind","Pricing Indicator Table","Agreement Inpatient Price","char"
"dbo","pub_cdmp_med_prcng","cdmp_ce_proc_ind","Pricing Indicator Table","Clinical Edits","char"
"dbo","pub_cdmp_med_prcng","cdmp_line_roll_ind","Pricing Indicator Table","Roll Up","char"
"dbo","pub_cdmp_med_prcng","cdmp_prce_base_ind","Pricing Indicator Table","Unit or Amount","char"
"dbo","pub_cdmp_med_prcng","cdmp_sepc_prce_ind","Pricing Indicator Table","Service Pricing Type","char"
"dbo","pub_cdmp_med_prcng","cdmp_last_prce_ind","Pricing Indicator Table","Final Pricing Source","char"
"dbo","pub_cdmp_med_prcng","cdmp_last_disc_rsn","Pricing Indicator Table","Pricing Discount","char"
"dbo","pub_cdmp_med_prcng","cdmp_disc_of_ind","Pricing Indicator Table","Discount Method","char"
"dbo","pub_cdmp_med_prcng","cdmp_units_allow","Pricing Indicator Table","Allowed Units","smallint"
"dbo","pub_cdmp_med_prcng","cdnp_section","Pricing Indicator Table","CDNP Section","smallint"
"dbo","pub_cdmp_med_prcng","cdnp_rule","Pricing Indicator Table","CDNP Rule","varchar"
"dbo","pub_cdmp_med_prcng","cdmp_addl_data","Pricing Indicator Table","Pricing Indicaotr Additional Data Field","varchar"
"dbo","pub_cdmp_med_prcng","cdmp_lock_token","Pricing Indicator Table","Lock Token","smallint"
"dbo","pub_cdmp_med_prcng","atxr_source_id","Pricing Indicator Table","Attachment Source Id","datetime"
"dbo","pub_cdmp_med_prcng","cdmp_its_pba_ind_nvl","Pricing Indicator Table","ITS PBA Indicator","char"
"dbo","pub_cdmp_med_prcng","cdmp_its_pba_ind_flag_nvl","Pricing Indicator Table","ITS PBA Indicator Flag","char"
