"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cdor_li_ovr","pubh_cdor_row_id","Medical Claim Line Override Data","PUBH_CDOR_ROW_ID","numeric"
"dbo","pub_cdor_li_ovr","pubh_guid","Medical Claim Line Override Data","Globally Unique Identifier","char"
"dbo","pub_cdor_li_ovr","pubh_action_cd","Medical Claim Line Override Data","Data Pub Action Code","char"
"dbo","pub_cdor_li_ovr","pubh_lsn","Medical Claim Line Override Data","Log Sequence Number","varbinary"
"dbo","pub_cdor_li_ovr","pubh_seq_val","Medical Claim Line Override Data","Transaction Sequence","varbinary"
"dbo","pub_cdor_li_ovr","clcl_id","Medical Claim Line Override Data","Claim Identifier","char"
"dbo","pub_cdor_li_ovr","cdml_seq_no","Medical Claim Line Override Data","Line-Item Detail Sequence Number","smallint"
"dbo","pub_cdor_li_ovr","cdor_or_id","Medical Claim Line Override Data","Line-Item Override Indicator","char"
"dbo","pub_cdor_li_ovr","meme_ck","Medical Claim Line Override Data","Member Contrived Key","int"
"dbo","pub_cdor_li_ovr","cdor_or_amt","Medical Claim Line Override Data","Line-Item Override Amount","money"
"dbo","pub_cdor_li_ovr","cdor_or_value","Medical Claim Line Override Data","Line-Item Override Value","varchar"
"dbo","pub_cdor_li_ovr","cdor_or_dt","Medical Claim Line Override Data","Line-Item Override Date","datetime"
"dbo","pub_cdor_li_ovr","excd_id","Medical Claim Line Override Data","Line-Item Override Explanation Identifier","char"
"dbo","pub_cdor_li_ovr","cdor_or_usid","Medical Claim Line Override Data","Line-Item Override User Identifier","char"
"dbo","pub_cdor_li_ovr","cdor_auto_gen","Medical Claim Line Override Data","Auto Generated Override Indicator","char"
"dbo","pub_cdor_li_ovr","cdor_lock_token","Medical Claim Line Override Data","Lock Token","smallint"
