"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cdpe_prov_data","pubh_cdpe_row_id","Line Level Input Provider Data","PUBH_CDPE_ROW_ID","numeric"
"dbo","pub_cdpe_prov_data","pubh_guid","Line Level Input Provider Data","Globally Unique Identifier","char"
"dbo","pub_cdpe_prov_data","pubh_action_cd","Line Level Input Provider Data","Data Pub Action Code","char"
"dbo","pub_cdpe_prov_data","pubh_lsn","Line Level Input Provider Data","Log Sequence Number","varbinary"
"dbo","pub_cdpe_prov_data","pubh_seq_val","Line Level Input Provider Data","Transaction Sequence","varbinary"
"dbo","pub_cdpe_prov_data","clcl_id","Line Level Input Provider Data","Claim ID","char"
"dbo","pub_cdpe_prov_data","cdml_seq_no","Line Level Input Provider Data","Line Item Sequence Number","smallint"
"dbo","pub_cdpe_prov_data","meme_ck","Line Level Input Provider Data","Member Contrived Key","int"
"dbo","pub_cdpe_prov_data","cdpe_prpr_id","Line Level Input Provider Data","Input Provider ID","char"
"dbo","pub_cdpe_prov_data","cdpe_npi","Line Level Input Provider Data","Input NPI","varchar"
"dbo","pub_cdpe_prov_data","cdpe_tax_id","Line Level Input Provider Data","Input Tax ID","varchar"
"dbo","pub_cdpe_prov_data","cdpe_last_name","Line Level Input Provider Data","Input Last Name","varchar"
"dbo","pub_cdpe_prov_data","cdpe_first_name","Line Level Input Provider Data","Input First Name","varchar"
"dbo","pub_cdpe_prov_data","cdpe_org_name","Line Level Input Provider Data","Organization Name","varchar"
"dbo","pub_cdpe_prov_data","cdpe_addl_data","Line Level Input Provider Data","Additional Data","varchar"
"dbo","pub_cdpe_prov_data","cdpe_lock_token","Line Level Input Provider Data","Lock Token","smallint"
"dbo","pub_cdpe_prov_data","atxr_source_id","Line Level Input Provider Data","Attachment Source Id","datetime"
"dbo","pub_cdpe_prov_data","sys_last_upd_dtm","Line Level Input Provider Data","Last Update Datetime","datetime"
"dbo","pub_cdpe_prov_data","sys_usus_id","Line Level Input Provider Data","Last Update User ID","varchar"
"dbo","pub_cdpe_prov_data","sys_dbuser_id","Line Level Input Provider Data","Last Update DBMS User ID","varchar"
"dbo","pub_cdpe_prov_data","cdpe_taxonomy_cd_nvl","Line Level Input Provider Data","Submitted Taxonomy","char"
"dbo","pub_cdpe_prov_data","cdpe_state_nvl","Line Level Input Provider Data","State","char"
"dbo","pub_cdpe_prov_data","cdpe_zip_nvl","Line Level Input Provider Data","Zip Code","char"
