"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cdtd_tran_trail","pubh_cdtd_row_id","Claim Activity Dental Line Transaction Header Table","Row Identifier","numeric"
"dbo","pub_cdtd_tran_trail","pubh_guid","Claim Activity Dental Line Transaction Header Table","Globally Unique Identifier","char"
"dbo","pub_cdtd_tran_trail","pubh_action_cd","Claim Activity Dental Line Transaction Header Table","Data Pub Action Code","char"
"dbo","pub_cdtd_tran_trail","clcl_id","Claim Activity Dental Line Transaction Header Table","Accident/Emergency Illness Amount","char"
"dbo","pub_cdtd_tran_trail","cltt_dtm","Claim Activity Dental Line Transaction Header Table","Claim State Datetime","datetime"
"dbo","pub_cdtd_tran_trail","cddl_seq_no","Claim Activity Dental Line Transaction Header Table","Dental Claim Sequence Number","smallint"
"dbo","pub_cdtd_tran_trail","meme_ck","Claim Activity Dental Line Transaction Header Table","Member Contrived Key","int"
"dbo","pub_cdtd_tran_trail","cddl_from_dt","Claim Activity Dental Line Transaction Header Table","Service From Date","datetime"
"dbo","pub_cdtd_tran_trail","psdc_id","Claim Activity Dental Line Transaction Header Table","Place of Service Code","char"
"dbo","pub_cdtd_tran_trail","cgcg_id","Claim Activity Dental Line Transaction Header Table","Dental Category","char"
"dbo","pub_cdtd_tran_trail","dpdp_id","Claim Activity Dental Line Transaction Header Table","Dental Procedure Code","char"
"dbo","pub_cdtd_tran_trail","cddl_chg_amt","Claim Activity Dental Line Transaction Header Table","Amount Charged","money"
"dbo","pub_cdtd_tran_trail","cddl_units","Claim Activity Dental Line Transaction Header Table","Number of Units","smallint"
"dbo","pub_cdtd_tran_trail","cdtd_lock_token","Claim Activity Dental Line Transaction Header Table","Lock Token","smallint"
