"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_clhx_proc_repl","pubh_clhx_row_id","Claim Level Procedure Code Replacement","PUBH_CLHX_ROW_ID","numeric"
"dbo","pub_clhx_proc_repl","pubh_guid","Claim Level Procedure Code Replacement","Globally Unique Identifier","char"
"dbo","pub_clhx_proc_repl","pubh_action_cd","Claim Level Procedure Code Replacement","Data Pub Action Code","char"
"dbo","pub_clhx_proc_repl","pubh_lsn","Claim Level Procedure Code Replacement","Log Sequence Number","varbinary"
"dbo","pub_clhx_proc_repl","pubh_seq_val","Claim Level Procedure Code Replacement","Transaction Sequence","varbinary"
"dbo","pub_clhx_proc_repl","clcl_id","Claim Level Procedure Code Replacement","Claim Identifier","char"
"dbo","pub_clhx_proc_repl","clhx_type","Claim Level Procedure Code Replacement","Procedure Code Type","char"
"dbo","pub_clhx_proc_repl","meme_ck","Claim Level Procedure Code Replacement","Member Contrived Key","int"
"dbo","pub_clhx_proc_repl","ipcd_id","Claim Level Procedure Code Replacement","Original procedure code","varchar"
"dbo","pub_clhx_proc_repl","clhx_lock_token","Claim Level Procedure Code Replacement","Lock Token","smallint"
"dbo","pub_clhx_proc_repl","atxr_source_id","Claim Level Procedure Code Replacement","Attachment Source Id","datetime"
"dbo","pub_clhx_proc_repl","sys_last_upd_dtm","Claim Level Procedure Code Replacement","Last Update Datetime","datetime"
"dbo","pub_clhx_proc_repl","sys_usus_id","Claim Level Procedure Code Replacement","Last Update User ID","varchar"
"dbo","pub_clhx_proc_repl","sys_dbuser_id","Claim Level Procedure Code Replacement","Last Update DBMS User ID","varchar"
