"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_clim_its_msg","pubh_clim_row_id","ITS Claim Message Table","PUBH_CLIM_ROW_ID","numeric"
"dbo","pub_clim_its_msg","pubh_guid","ITS Claim Message Table","Globally Unique Identifier","char"
"dbo","pub_clim_its_msg","pubh_action_cd","ITS Claim Message Table","Data Pub Action Code","char"
"dbo","pub_clim_its_msg","pubh_lsn","ITS Claim Message Table","Log Sequence Number","varbinary"
"dbo","pub_clim_its_msg","pubh_seq_val","ITS Claim Message Table","Transaction Sequence","varbinary"
"dbo","pub_clim_its_msg","clcl_id","ITS Claim Message Table","Claim ID","char"
"dbo","pub_clim_its_msg","clim_typ","ITS Claim Message Table","Type","char"
"dbo","pub_clim_its_msg","clim_its_msg_cd","ITS Claim Message Table","Message Codes","char"
"dbo","pub_clim_its_msg","meme_ck","ITS Claim Message Table","Member Contrived Key","int"
"dbo","pub_clim_its_msg","clim_mapping_ind","ITS Claim Message Table","Claim Mapping","char"
"dbo","pub_clim_its_msg","clim_amt","ITS Claim Message Table","Amount","money"
"dbo","pub_clim_its_msg","clim_pct","ITS Claim Message Table","ITS Special Pricing Percentage","money"
"dbo","pub_clim_its_msg","clim_days","ITS Claim Message Table","Special Pricing Days","smallint"
"dbo","pub_clim_its_msg","clim_addl_data","ITS Claim Message Table","Additional Data","varchar"
"dbo","pub_clim_its_msg","clim_lock_token","ITS Claim Message Table","Lock Token","smallint"
