"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_clmf_mult_func","pubh_clmf_row_id","Multifunction Table Multifunction Table","PUBH_CLMF_ROW_ID","numeric"
"dbo","pub_clmf_mult_func","pubh_guid","Multifunction Table Multifunction Table","Globally Unique Identifier","char"
"dbo","pub_clmf_mult_func","pubh_action_cd","Multifunction Table Multifunction Table","Data Pub Action Code","char"
"dbo","pub_clmf_mult_func","pubh_lsn","Multifunction Table Multifunction Table","Log Sequence Number","varbinary"
"dbo","pub_clmf_mult_func","pubh_seq_val","Multifunction Table Multifunction Table","Transaction Sequence","varbinary"
"dbo","pub_clmf_mult_func","clcl_id","Multifunction Table Multifunction Table","Claim Identifier","char"
"dbo","pub_clmf_mult_func","meme_ck","Multifunction Table Multifunction Table","Member Contrived Key","int"
"dbo","pub_clmf_mult_func","clmf_prpr_id_fac","Multifunction Table Multifunction Table","Related Facility Identifier","char"
"dbo","pub_clmf_mult_func","clmf_input_txnm_cd","Multifunction Table Multifunction Table","Provider Taxonomy Code","char"
"dbo","pub_clmf_mult_func","clmf_input_sbsb_id","Multifunction Table Multifunction Table","Original Submission Subscriber ID","varchar"
"dbo","pub_clmf_mult_func","clmf_prpr_fa_npi","Multifunction Table Multifunction Table","Related Facility NPI","varchar"
"dbo","pub_clmf_mult_func","clmf_prpr_fa_tax","Multifunction Table Multifunction Table","Related Facility Tax ID","varchar"
"dbo","pub_clmf_mult_func","clmf_prpr_rf_npi","Multifunction Table Multifunction Table","Referring Provider NPI","varchar"
"dbo","pub_clmf_mult_func","clmf_prpr_rf_tax","Multifunction Table Multifunction Table","Referring Provider Tax ID","varchar"
"dbo","pub_clmf_mult_func","clmf_prpr_se_npi","Multifunction Table Multifunction Table","Servicing Provider NPI","varchar"
"dbo","pub_clmf_mult_func","clmf_prpr_se_tax","Multifunction Table Multifunction Table","Servicing Provider Tax ID","varchar"
"dbo","pub_clmf_mult_func","clmf_input_hlth_id","Multifunction Table Multifunction Table","Input Standard Unique Health ID","varchar"
"dbo","pub_clmf_mult_func","clmf_icd_ind_proc","Multifunction Table Multifunction Table","ICD Version Indicator-processed","char"
"dbo","pub_clmf_mult_func","clmf_icd_qual_ind","Multifunction Table Multifunction Table","ICD Version Indicator-submitted","char"
"dbo","pub_clmf_mult_func","tein_id","Multifunction Table Multifunction Table","ICD Translation Transaction ID","varchar"
"dbo","pub_clmf_mult_func","clmf_ext_refral_no","Multifunction Table Multifunction Table","External Referral Number","varchar"
"dbo","pub_clmf_mult_func","clmf_ext_preath_no","Multifunction Table Multifunction Table","External Preauthorization Number","varchar"
"dbo","pub_clmf_mult_func","clmf_lock_token","Multifunction Table Multifunction Table","Lock Token","smallint"
"dbo","pub_clmf_mult_func","atxr_source_id","Multifunction Table Multifunction Table","Attachment Source Id","datetime"
"dbo","pub_clmf_mult_func","sys_last_upd_dtm","Multifunction Table Multifunction Table","Last Update Datetime","datetime"
"dbo","pub_clmf_mult_func","sys_usus_id","Multifunction Table Multifunction Table","Last Update User ID","varchar"
"dbo","pub_clmf_mult_func","sys_dbuser_id","Multifunction Table Multifunction Table","Last Update DBMS User ID","varchar"
"dbo","pub_clmf_mult_func","clmf_prpr_se_spec_nvl","Multifunction Table Multifunction Table","Servicing Provider Specialty","char"
"dbo","pub_clmf_mult_func","clmf_prpr_se_spec2_nvl","Multifunction Table Multifunction Table","Servicing Provider Secondary Specialty","char"
"dbo","pub_clmf_mult_func","clmf_prpr_se_enty_nvl","Multifunction Table Multifunction Table","Servicing Provider Entity","char"
