"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_clms_ext_misc","pubh_clms_row_id","Electronic Adjudication Table","Row Identifier","numeric"
"dbo","pub_clms_ext_misc","pubh_guid","Electronic Adjudication Table","Globally Unique Identifier","char"
"dbo","pub_clms_ext_misc","pubh_action_cd","Electronic Adjudication Table","Data Pub Action Code","char"
"dbo","pub_clms_ext_misc","clcl_id","Electronic Adjudication Table","Accident/Emergency Illness Amount","char"
"dbo","pub_clms_ext_misc","meme_ck","Electronic Adjudication Table","Member Contrived Key","int"
"dbo","pub_clms_ext_misc","clms_memo","Electronic Adjudication Table","External Claims Memo","char"
"dbo","pub_clms_ext_misc","atsy_id","Electronic Adjudication Table","Style ID","char"
"dbo","pub_clms_ext_misc","atld_id","Electronic Adjudication Table","Provider Claims Payment Hold Document Identification Number","varchar"
"dbo","pub_clms_ext_misc","clms_ext_ref","Electronic Adjudication Table","External Reference Number","varchar"
"dbo","pub_clms_ext_misc","clms_trad_partner","Electronic Adjudication Table","External Claims Trading Partner","char"
"dbo","pub_clms_ext_misc","clms_pend_reas","Electronic Adjudication Table","Claim Pend Reason","char"
"dbo","pub_clms_ext_misc","clms_lock_token","Electronic Adjudication Table","Lock Token","smallint"
