"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_clor_cl_ovr","pubh_clor_row_id","Claim Level Override Data","PUBH_CLOR_ROW_ID","numeric"
"dbo","pub_clor_cl_ovr","pubh_guid","Claim Level Override Data","Globally Unique Identifier","char"
"dbo","pub_clor_cl_ovr","pubh_action_cd","Claim Level Override Data","Data Pub Action Code","char"
"dbo","pub_clor_cl_ovr","pubh_lsn","Claim Level Override Data","Log Sequence Number","varbinary"
"dbo","pub_clor_cl_ovr","pubh_seq_val","Claim Level Override Data","Transaction Sequence","varbinary"
"dbo","pub_clor_cl_ovr","clcl_id","Claim Level Override Data","CLCL_ID","char"
"dbo","pub_clor_cl_ovr","clor_or_id","Claim Level Override Data","Claim Level Override Identifier","char"
"dbo","pub_clor_cl_ovr","meme_ck","Claim Level Override Data","Member Contrived Key","int"
"dbo","pub_clor_cl_ovr","clor_or_amount","Claim Level Override Data","CLOR_OR_AMOUNT","money"
"dbo","pub_clor_cl_ovr","clor_or_value","Claim Level Override Data","Claim Level Override Value","varchar"
"dbo","pub_clor_cl_ovr","clor_or_dt","Claim Level Override Data","Claim Level Override Date","datetime"
"dbo","pub_clor_cl_ovr","excd_id","Claim Level Override Data","Claim Level Override Explanation Identifier","char"
"dbo","pub_clor_cl_ovr","clor_or_usid","Claim Level Override Data","Claim Level Override User Identifier","char"
"dbo","pub_clor_cl_ovr","clor_auto_gen","Claim Level Override Data","CLOR_AUTO_GEN","char"
"dbo","pub_clor_cl_ovr","clor_lock_token","Claim Level Override Data","Lock Token","smallint"
