"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_clrt_red_trig","pubh_clrt_row_id","Claim Redirect Trigger Table","PUBH_CLRT_ROW_ID","numeric"
"dbo","pub_clrt_red_trig","pubh_guid","Claim Redirect Trigger Table","Globally Unique Identifier","char"
"dbo","pub_clrt_red_trig","pubh_action_cd","Claim Redirect Trigger Table","Data Pub Action Code","char"
"dbo","pub_clrt_red_trig","pubh_lsn","Claim Redirect Trigger Table","Log Sequence Number","varbinary"
"dbo","pub_clrt_red_trig","pubh_seq_val","Claim Redirect Trigger Table","Transaction Sequence","varbinary"
"dbo","pub_clrt_red_trig","clrt_cap_ent_id","Claim Redirect Trigger Table","Capitated Entity ID","char"
"dbo","pub_clrt_red_trig","clcl_id","Claim Redirect Trigger Table","Claim ID","char"
"dbo","pub_clrt_red_trig","clrt_dt","Claim Redirect Trigger Table","Redirect Date","datetime"
"dbo","pub_clrt_red_trig","clrt_batch_id","Claim Redirect Trigger Table","Redirect Batch ID","varchar"
"dbo","pub_clrt_red_trig","clrt_lock_token","Claim Redirect Trigger Table","Lock Token","smallint"
"dbo","pub_clrt_red_trig","sys_last_upd_dtm","Claim Redirect Trigger Table","Last Update Datetime","datetime"
"dbo","pub_clrt_red_trig","sys_usus_id","Claim Redirect Trigger Table","Last Update User ID","varchar"
"dbo","pub_clrt_red_trig","sys_dbuser_id","Claim Redirect Trigger Table","Last Update DBMS User ID","varchar"
