"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_clsa_supp_accd","pubh_clsa_row_id","Claim Supplemental Accident Information Table","PUBH_CLSA_ROW_ID","numeric"
"dbo","pub_clsa_supp_accd","pubh_guid","Claim Supplemental Accident Information Table","Globally Unique Identifier","char"
"dbo","pub_clsa_supp_accd","pubh_action_cd","Claim Supplemental Accident Information Table","Data Pub Action Code","char"
"dbo","pub_clsa_supp_accd","pubh_lsn","Claim Supplemental Accident Information Table","Log Sequence Number","varbinary"
"dbo","pub_clsa_supp_accd","pubh_seq_val","Claim Supplemental Accident Information Table","Transaction Sequence","varbinary"
"dbo","pub_clsa_supp_accd","clcl_id","Claim Supplemental Accident Information Table","Claim ID","char"
"dbo","pub_clsa_supp_accd","meme_ck","Claim Supplemental Accident Information Table","Member Contrived Key","int"
"dbo","pub_clsa_supp_accd","clcl_acd_dt","Claim Supplemental Accident Information Table","Accident Date","datetime"
"dbo","pub_clsa_supp_accd","clcl_cl_type","Claim Supplemental Accident Information Table","Claim Type","char"
"dbo","pub_clsa_supp_accd","clsa_paid_amt","Claim Supplemental Accident Information Table","Supplemental Accident Benefit Paid Amount","money"
"dbo","pub_clsa_supp_accd","clsa_lock_token","Claim Supplemental Accident Information Table","Lock Token","smallint"
"dbo","pub_clsa_supp_accd","atxr_source_id","Claim Supplemental Accident Information Table","Attachment Source Id","datetime"
