"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_clte_tran_error","pubh_clte_row_id","Claim Activity Transaction Error Table","Row Identifier","numeric"
"dbo","pub_clte_tran_error","pubh_guid","Claim Activity Transaction Error Table","Globally Unique Identifier","char"
"dbo","pub_clte_tran_error","pubh_action_cd","Claim Activity Transaction Error Table","Data Pub Action Code","char"
"dbo","pub_clte_tran_error","clcl_id","Claim Activity Transaction Error Table","Accident/Emergency Illness Amount","char"
"dbo","pub_clte_tran_error","cltt_dtm","Claim Activity Transaction Error Table","Claim State Datetime","datetime"
"dbo","pub_clte_tran_error","clte_line_seq_no","Claim Activity Transaction Error Table","Line Sequence Number","smallint"
"dbo","pub_clte_tran_error","symd_id","Claim Activity Transaction Error Table","Error Type","char"
"dbo","pub_clte_tran_error","symd_msg_cd","Claim Activity Transaction Error Table","Error ID","int"
"dbo","pub_clte_tran_error","clte_ext_msg_cd","Claim Activity Transaction Error Table","External Error Message Code","varchar"
"dbo","pub_clte_tran_error","meme_ck","Claim Activity Transaction Error Table","Member Contrived Key","int"
"dbo","pub_clte_tran_error","clte_lock_token","Claim Activity Transaction Error Table","Lock Token","smallint"
