"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_clto_tran_ovr","pubh_clto_row_id","Claim Activity Transaction Overrides Table","Row Identifier","numeric"
"dbo","pub_clto_tran_ovr","pubh_guid","Claim Activity Transaction Overrides Table","Globally Unique Identifier","char"
"dbo","pub_clto_tran_ovr","pubh_action_cd","Claim Activity Transaction Overrides Table","Data Pub Action Code","char"
"dbo","pub_clto_tran_ovr","clcl_id","Claim Activity Transaction Overrides Table","Accident/Emergency Illness Amount","char"
"dbo","pub_clto_tran_ovr","cltt_dtm","Claim Activity Transaction Overrides Table","Claim State Datetime","datetime"
"dbo","pub_clto_tran_ovr","clto_line_seq_no","Claim Activity Transaction Overrides Table","Line Sequence Number","smallint"
"dbo","pub_clto_tran_ovr","clto_or_id","Claim Activity Transaction Overrides Table","Override ID","char"
"dbo","pub_clto_tran_ovr","meme_ck","Claim Activity Transaction Overrides Table","Member Contrived Key","int"
"dbo","pub_clto_tran_ovr","clto_or_amount","Claim Activity Transaction Overrides Table","Override Amount","money"
"dbo","pub_clto_tran_ovr","clto_or_value","Claim Activity Transaction Overrides Table","Override Value","varchar"
"dbo","pub_clto_tran_ovr","clto_or_dt","Claim Activity Transaction Overrides Table","Override Value","datetime"
"dbo","pub_clto_tran_ovr","clto_auto_gen","Claim Activity Transaction Overrides Table","Override Generation Indicator","char"
"dbo","pub_clto_tran_ovr","usus_id","Claim Activity Transaction Overrides Table","User Identifier","char"
"dbo","pub_clto_tran_ovr","clto_lock_token","Claim Activity Transaction Overrides Table","Lock Token","smallint"
