"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cltt_tran_trail","pubh_cltt_row_id","Claim Activity Transaction Header Table","Row Identifier","numeric"
"dbo","pub_cltt_tran_trail","pubh_guid","Claim Activity Transaction Header Table","Globally Unique Identifier","char"
"dbo","pub_cltt_tran_trail","pubh_action_cd","Claim Activity Transaction Header Table","Data Pub Action Code","char"
"dbo","pub_cltt_tran_trail","clcl_id","Claim Activity Transaction Header Table","Accident/Emergency Illness Amount","char"
"dbo","pub_cltt_tran_trail","cltt_dtm","Claim Activity Transaction Header Table","Claim State Datetime","datetime"
"dbo","pub_cltt_tran_trail","usus_id","Claim Activity Transaction Header Table","User Identifier","char"
"dbo","pub_cltt_tran_trail","clst_sts","Claim Activity Transaction Header Table","Claim Status Code","char"
"dbo","pub_cltt_tran_trail","clmi_its_cur_sts","Claim Activity Transaction Header Table","ITS Current Status","char"
"dbo","pub_cltt_tran_trail","meme_ck","Claim Activity Transaction Header Table","Member Contrived Key","int"
"dbo","pub_cltt_tran_trail","grgr_ck","Claim Activity Transaction Header Table","Group Address Line 1","int"
"dbo","pub_cltt_tran_trail","prpr_id","Claim Activity Transaction Header Table","Servicing Provider","char"
"dbo","pub_cltt_tran_trail","clcl_low_svc_dt","Claim Activity Transaction Header Table","Accident/Emergency Illness Amount","datetime"
"dbo","pub_cltt_tran_trail","clcl_tot_chg","Claim Activity Transaction Header Table","Accident/Emergency Illness Amount","money"
"dbo","pub_cltt_tran_trail","clcl_tot_payable","Claim Activity Transaction Header Table","Accident/Emergency Illness Amount","money"
"dbo","pub_cltt_tran_trail","clcl_paid_dt","Claim Activity Transaction Header Table","Accident/Emergency Illness Amount","datetime"
"dbo","pub_cltt_tran_trail","pzap_id","Claim Activity Transaction Header Table","System Transaction Identifier","char"
"dbo","pub_cltt_tran_trail","sys_row_id","Claim Activity Transaction Header Table","System row ID","varchar"
"dbo","pub_cltt_tran_trail","cltt_lock_token","Claim Activity Transaction Header Table","Lock Token","smallint"
