"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_cscf_conf","pubh_cscf_row_id","Customer Service Confirmation Notes Data","Row Identifier","numeric"
"dbo","pub_cscf_conf","pubh_guid","Customer Service Confirmation Notes Data","Globally Unique Identifier","char"
"dbo","pub_cscf_conf","pubh_action_cd","Customer Service Confirmation Notes Data","Data Pub Action Code","char"
"dbo","pub_cscf_conf","pubh_lsn","Customer Service Confirmation Notes Data","Log Sequence Number","varbinary"
"dbo","pub_cscf_conf","pubh_seq_val","Customer Service Confirmation Notes Data","Transaction Sequence","varbinary"
"dbo","pub_cscf_conf","cssc_id","Customer Service Confirmation Notes Data","Customer Service Inquiry ID","char"
"dbo","pub_cscf_conf","cstk_seq_no","Customer Service Confirmation Notes Data","CS Task Sequence Number","smallint"
"dbo","pub_cscf_conf","cscf_type","Customer Service Confirmation Notes Data","Configuration Type","char"
"dbo","pub_cscf_conf","cscf_seq_no","Customer Service Confirmation Notes Data","Configuration Sequence #","smallint"
"dbo","pub_cscf_conf","cscf_text","Customer Service Confirmation Notes Data","Field/Value","varbinary"
"dbo","pub_cscf_conf","cscf_lock_token","Customer Service Confirmation Notes Data","Lock Token","smallint"
"dbo","pub_cscf_conf","atxr_source_id","Customer Service Confirmation Notes Data","Attachment Source Id","datetime"
