"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_csli_link","pubh_csli_row_id","Customer Service Linked Records","Row Identifier","numeric"
"dbo","pub_csli_link","pubh_guid","Customer Service Linked Records","Globally Unique Identifier","char"
"dbo","pub_csli_link","pubh_action_cd","Customer Service Linked Records","Data Pub Action Code","char"
"dbo","pub_csli_link","pubh_lsn","Customer Service Linked Records","Log Sequence Number","varbinary"
"dbo","pub_csli_link","pubh_seq_val","Customer Service Linked Records","Transaction Sequence","varbinary"
"dbo","pub_csli_link","cssc_id","Customer Service Linked Records","Call ID","char"
"dbo","pub_csli_link","cstk_seq_no","Customer Service Linked Records","Task Sequence Number","smallint"
"dbo","pub_csli_link","csli_type","Customer Service Linked Records","Type of Record","char"
"dbo","pub_csli_link","csli_id","Customer Service Linked Records","Record ID","char"
"dbo","pub_csli_link","csli_mctr_reas","Customer Service Linked Records","User-defined Link Reason","char"
"dbo","pub_csli_link","csli_desc","Customer Service Linked Records","Freeform description text","varchar"
"dbo","pub_csli_link","csli_last_upd_dtm","Customer Service Linked Records","Last Update Date","datetime"
"dbo","pub_csli_link","csli_last_upd_usid","Customer Service Linked Records","Last Updated by User ID","char"
"dbo","pub_csli_link","csli_lock_token","Customer Service Linked Records","Lock Token","smallint"
"dbo","pub_csli_link","atxr_source_id","Customer Service Linked Records","Attachment Source Id","datetime"
