"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_fatx_accum_txn","pubh_fatx_row_id","Family Accumulator Transaction Table","Row Identifier","numeric"
"dbo","pub_fatx_accum_txn","pubh_guid","Family Accumulator Transaction Table","Globally Unique Identifier","char"
"dbo","pub_fatx_accum_txn","pubh_action_cd","Family Accumulator Transaction Table","Data Pub Action Code","char"
"dbo","pub_fatx_accum_txn","pubh_lsn","Family Accumulator Transaction Table","Log Sequence Number","varbinary"
"dbo","pub_fatx_accum_txn","pubh_seq_val","Family Accumulator Transaction Table","Transaction Sequence","varbinary"
"dbo","pub_fatx_accum_txn","sbsb_ck","Family Accumulator Transaction Table","Subscriber Contrived Key","int"
"dbo","pub_fatx_accum_txn","pdpd_acc_sfx","Family Accumulator Transaction Table","Accumulator Suffix","char"
"dbo","pub_fatx_accum_txn","fatx_acc_type","Family Accumulator Transaction Table","Accumulator Type","char"
"dbo","pub_fatx_accum_txn","acac_acc_no","Family Accumulator Transaction Table","Accumulator Number","smallint"
"dbo","pub_fatx_accum_txn","fatx_ben_beg_dt","Family Accumulator Transaction Table","Benefit Period Begins Date","datetime"
"dbo","pub_fatx_accum_txn","fatx_seq_no","Family Accumulator Transaction Table","Transaction Sequence Number","int"
"dbo","pub_fatx_accum_txn","grgr_ck","Family Accumulator Transaction Table","Group Contrived Key","int"
"dbo","pub_fatx_accum_txn","fatx_txn_amt1","Family Accumulator Transaction Table","Family Accumulator Transaction Amount 1","money"
"dbo","pub_fatx_accum_txn","fatx_txn_amt2","Family Accumulator Transaction Table","Family Accumulator Transaction Amount 2","money"
"dbo","pub_fatx_accum_txn","fatx_txn_ctr1","Family Accumulator Transaction Table","Family Accumulator Transaction Counter 1","numeric"
"dbo","pub_fatx_accum_txn","fatx_txn_ctr2","Family Accumulator Transaction Table","Family Accumulator Transaction Counter 2","numeric"
"dbo","pub_fatx_accum_txn","fatx_amt1","Family Accumulator Transaction Table","Family Accumulator Cumulative Amount 1","money"
"dbo","pub_fatx_accum_txn","fatx_amt2","Family Accumulator Transaction Table","Family Accumulator Cumulative Amount 2","money"
"dbo","pub_fatx_accum_txn","fatx_ctr1","Family Accumulator Transaction Table","Family Accumulator Cumulative Counter 1","numeric"
"dbo","pub_fatx_accum_txn","fatx_ctr2","Family Accumulator Transaction Table","Family Accumulator Cumulative Counter 2","numeric"
"dbo","pub_fatx_accum_txn","fatx_person_ctr","Family Accumulator Transaction Table","Family Accumulator Number of Persons","smallint"
"dbo","pub_fatx_accum_txn","fatx_person_ctr_co","Family Accumulator Transaction Table","Family Accumulator Number of Persons Carryover","smallint"
"dbo","pub_fatx_accum_txn","meme_ck","Family Accumulator Transaction Table","Member Contrived Key","int"
"dbo","pub_fatx_accum_txn","fatx_create_dtm","Family Accumulator Transaction Table","Family Accumulator Transaction Create Datetime","datetime"
"dbo","pub_fatx_accum_txn","fatx_sts_ind","Family Accumulator Transaction Table","Family Accumulator Transaction Status Indicator","char"
"dbo","pub_fatx_accum_txn","clcl_id","Family Accumulator Transaction Table","Family Accumulator Transaction Claim ID","char"
"dbo","pub_fatx_accum_txn","fatx_mctr_rsn","Family Accumulator Transaction Table","Family Accumulator Transaction Update Reason","char"
"dbo","pub_fatx_accum_txn","fatx_external_id","Family Accumulator Transaction Table","Family Accumulator Transaction External ID","varchar"
"dbo","pub_fatx_accum_txn","usus_id","Family Accumulator Transaction Table","User Identifier","varchar"
"dbo","pub_fatx_accum_txn","fatx_period_type","Family Accumulator Transaction Table","Family Accumulator Transaction Period Type","char"
"dbo","pub_fatx_accum_txn","syin_inst","Family Accumulator Transaction Table","Family Accumulator Transaction Instance ID","bigint"
"dbo","pub_fatx_accum_txn","fatx_lock_token","Family Accumulator Transaction Table","Lock Token","smallint"
"dbo","pub_fatx_accum_txn","atxr_source_id","Family Accumulator Transaction Table","Attachment Source Id","datetime"
"dbo","pub_fatx_accum_txn","sys_last_upd_dtm","Family Accumulator Transaction Table","Last Update Datetime","datetime"
"dbo","pub_fatx_accum_txn","sys_usus_id","Family Accumulator Transaction Table","Last Update User ID","varchar"
"dbo","pub_fatx_accum_txn","sys_dbuser_id","Family Accumulator Transaction Table","Last Update DBMS User ID","varchar"
