"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_grcc_cat_count","pubh_grcc_row_id","Group Category Count","PUBH_GRCC_ROW_ID","numeric"
"dbo","pub_grcc_cat_count","pubh_guid","Group Category Count","Globally Unique Identifier","char"
"dbo","pub_grcc_cat_count","pubh_action_cd","Group Category Count","Data Pub Action Code","char"
"dbo","pub_grcc_cat_count","pubh_lsn","Group Category Count","Log Sequence Number","varbinary"
"dbo","pub_grcc_cat_count","pubh_seq_val","Group Category Count","Transaction Sequence","varbinary"
"dbo","pub_grcc_cat_count","grgr_ck","Group Category Count","Group Contrived Key","int"
"dbo","pub_grcc_cat_count","cspd_cat","Group Category Count","Category","char"
"dbo","pub_grcc_cat_count","grcc_count","Group Category Count","Coount","int"
"dbo","pub_grcc_cat_count","grcc_lock_token","Group Category Count","Lock Token","smallint"
"dbo","pub_grcc_cat_count","atxr_source_id","Group Category Count","Attachment Source Id","datetime"
