"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_grgc_group_count","pubh_grgc_row_id","Group Count","PUBH_GRCC_ROW_ID","numeric"
"dbo","pub_grgc_group_count","pubh_guid","Group Count","Globally Unique Identifier","char"
"dbo","pub_grgc_group_count","pubh_action_cd","Group Count","Data Pub Action Code","char"
"dbo","pub_grgc_group_count","pubh_lsn","Group Count","Log Sequence Number","varbinary"
"dbo","pub_grgc_group_count","pubh_seq_val","Group Count","Transaction Sequence","varbinary"
"dbo","pub_grgc_group_count","grgr_ck","Group Count","Group Contrived Key","int"
"dbo","pub_grgc_group_count","grgc_mctr_ctyp","Group Count","Type","char"
"dbo","pub_grgc_group_count","grgc_eff_dt","Group Count","Effective Date","datetime"
"dbo","pub_grgc_group_count","grgc_term_dt","Group Count","Termination Date","datetime"
"dbo","pub_grgc_group_count","grgc_count","Group Count","Count","int"
"dbo","pub_grgc_group_count","grgc_lock_token","Group Count","Lock Token","smallint"
"dbo","pub_grgc_group_count","atxr_source_id","Group Count","Attachment Source Id","datetime"
