"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_grre_relation","pubh_grre_row_id","Group Relationship to Related Entity","PUBH_GRRE_ROW_ID","numeric"
"dbo","pub_grre_relation","pubh_guid","Group Relationship to Related Entity","Globally Unique Identifier","char"
"dbo","pub_grre_relation","pubh_action_cd","Group Relationship to Related Entity","Data Pub Action Code","char"
"dbo","pub_grre_relation","pubh_lsn","Group Relationship to Related Entity","Log Sequence Number","varbinary"
"dbo","pub_grre_relation","pubh_seq_val","Group Relationship to Related Entity","Transaction Sequence","varbinary"
"dbo","pub_grre_relation","grgr_ck","Group Relationship to Related Entity","Group Contrived Key","int"
"dbo","pub_grre_relation","grre_category","Group Relationship to Related Entity","Category","char"
"dbo","pub_grre_relation","grre_mctr_type","Group Relationship to Related Entity","Relationship Type","char"
"dbo","pub_grre_relation","grre_eff_dt","Group Relationship to Related Entity","Relationship Effective Date","datetime"
"dbo","pub_grre_relation","grre_term_dt","Group Relationship to Related Entity","Relationship Termination Date","datetime"
"dbo","pub_grre_relation","grre_mctr_trsn","Group Relationship to Related Entity","Relationship Termination Reason","char"
"dbo","pub_grre_relation","mcre_grre_id","Group Relationship to Related Entity","Related Entity ID","char"
"dbo","pub_grre_relation","grre_lock_token","Group Relationship to Related Entity","Lock Token","smallint"
"dbo","pub_grre_relation","atxr_source_id","Group Relationship to Related Entity","Attachment Source Id","datetime"
"dbo","pub_grre_relation","sys_last_upd_dtm","Group Relationship to Related Entity","Last Update Datetime","datetime"
"dbo","pub_grre_relation","sys_usus_id","Group Relationship to Related Entity","Last Update User ID","varchar"
"dbo","pub_grre_relation","sys_dbuser_id","Group Relationship to Related Entity","Last Update DBMS User ID","varchar"
