"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_meca_cdh_act","pubh_meca_row_id","Consumer Directed Activity table-triggers","PUBH_MECA_ROW_ID","numeric"
"dbo","pub_meca_cdh_act","pubh_guid","Consumer Directed Activity table-triggers","Globally Unique Identifier","char"
"dbo","pub_meca_cdh_act","pubh_action_cd","Consumer Directed Activity table-triggers","Data Pub Action Code","char"
"dbo","pub_meca_cdh_act","pubh_lsn","Consumer Directed Activity table-triggers","Log Sequence Number","varbinary"
"dbo","pub_meca_cdh_act","pubh_seq_val","Consumer Directed Activity table-triggers","Transaction Sequence","varbinary"
"dbo","pub_meca_cdh_act","meca_row_id","Consumer Directed Activity table-triggers","Row ID Identity","numeric"
"dbo","pub_meca_cdh_act","grgr_ck","Consumer Directed Activity table-triggers","Group Contrived Key","int"
"dbo","pub_meca_cdh_act","grdc_pfx","Consumer Directed Activity table-triggers","Group Debit Card/Bank relationship prefix","char"
"dbo","pub_meca_cdh_act","sbsb_ck","Consumer Directed Activity table-triggers","Subscriber contrived key","int"
"dbo","pub_meca_cdh_act","meca_acct_type","Consumer Directed Activity table-triggers","CDH- Account Type","char"
"dbo","pub_meca_cdh_act","meca_type","Consumer Directed Activity table-triggers","Population level for trigger row","char"
"dbo","pub_meca_cdh_act","meca_sts","Consumer Directed Activity table-triggers","Status of the rows","char"
"dbo","pub_meca_cdh_act","meca_create_dtm","Consumer Directed Activity table-triggers","Create Date and Time for the row","datetime"
"dbo","pub_meca_cdh_act","meca_addl_data","Consumer Directed Activity table-triggers","for future use","varchar"
"dbo","pub_meca_cdh_act","meca_lock_token","Consumer Directed Activity table-triggers","Lock Token","smallint"
"dbo","pub_meca_cdh_act","atxr_source_id","Consumer Directed Activity table-triggers","Attachment Source Id","datetime"
