"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_medv_medcd_ver","pubh_medv_row_id","Medicaid Verification","PUBH_MEDV_ROW_ID","numeric"
"dbo","pub_medv_medcd_ver","pubh_guid","Medicaid Verification","Globally Unique Identifier","char"
"dbo","pub_medv_medcd_ver","pubh_action_cd","Medicaid Verification","Data Pub Action Code","char"
"dbo","pub_medv_medcd_ver","pubh_lsn","Medicaid Verification","Log Sequence Number","varbinary"
"dbo","pub_medv_medcd_ver","pubh_seq_val","Medicaid Verification","Transaction Sequence","varbinary"
"dbo","pub_medv_medcd_ver","meme_ck","Medicaid Verification","Member Contrived Key","int"
"dbo","pub_medv_medcd_ver","mecd_eff_dt","Medicaid Verification","Effective Date","datetime"
"dbo","pub_medv_medcd_ver","medv_seq_no","Medicaid Verification","Sequence Number","smallint"
"dbo","pub_medv_medcd_ver","medv_last_ver_dt","Medicaid Verification","Verification Date","datetime"
"dbo","pub_medv_medcd_ver","medv_last_ver_name","Medicaid Verification","Verification Name","char"
"dbo","pub_medv_medcd_ver","medv_mctr_vmth","Medicaid Verification","Verification Method","char"
"dbo","pub_medv_medcd_ver","medv_mctr_vrsn","Medicaid Verification","Verification Reason","char"
"dbo","pub_medv_medcd_ver","medv_lock_token","Medicaid Verification","Lock Token","smallint"
"dbo","pub_medv_medcd_ver","atxr_source_id","Medicaid Verification","Attachment Source Id","datetime"
