"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_meec_ex_crit","pubh_meec_row_id","Member Exception Criteria","PUBH_MEEC_ROW_ID","numeric"
"dbo","pub_meec_ex_crit","pubh_guid","Member Exception Criteria","Globally Unique Identifier","char"
"dbo","pub_meec_ex_crit","pubh_action_cd","Member Exception Criteria","Data Pub Action Code","char"
"dbo","pub_meec_ex_crit","pubh_lsn","Member Exception Criteria","Log Sequence Number","varbinary"
"dbo","pub_meec_ex_crit","pubh_seq_val","Member Exception Criteria","Transaction Sequence","varbinary"
"dbo","pub_meec_ex_crit","meme_ck","Member Exception Criteria","Member Contrived Key","int"
"dbo","pub_meec_ex_crit","meet_excp_type","Member Exception Criteria","Exception Type","char"
"dbo","pub_meec_ex_crit","cspd_cat","Member Exception Criteria","Category","char"
"dbo","pub_meec_ex_crit","meet_eff_dt","Member Exception Criteria","Effective Date","datetime"
"dbo","pub_meec_ex_crit","meec_criteria","Member Exception Criteria","Exception Criteria","char"
"dbo","pub_meec_ex_crit","meec_crit_low","Member Exception Criteria","Criteria Value Low","varchar"
"dbo","pub_meec_ex_crit","meec_crit_high","Member Exception Criteria","Criteria Value High","varchar"
"dbo","pub_meec_ex_crit","atxr_source_id","Member Exception Criteria","Attachment Source Id","datetime"
"dbo","pub_meec_ex_crit","meec_lock_token","Member Exception Criteria","Lock Token","smallint"
"dbo","pub_meec_ex_crit","sys_last_upd_dtm","Member Exception Criteria","Last Update Datetime","datetime"
"dbo","pub_meec_ex_crit","sys_usus_id","Member Exception Criteria","Last Update User ID","varchar"
"dbo","pub_meec_ex_crit","sys_dbuser_id","Member Exception Criteria","Last Update DBMS User ID","varchar"
