"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_meel_elig_ent","pubh_meel_row_id","Eligibility Events at Member Level","PUBH_MEEL_ROW_ID","numeric"
"dbo","pub_meel_elig_ent","pubh_guid","Eligibility Events at Member Level","Globally Unique Identifier","char"
"dbo","pub_meel_elig_ent","pubh_action_cd","Eligibility Events at Member Level","Data Pub Action Code","char"
"dbo","pub_meel_elig_ent","pubh_lsn","Eligibility Events at Member Level","Log Sequence Number","varbinary"
"dbo","pub_meel_elig_ent","pubh_seq_val","Eligibility Events at Member Level","Transaction Sequence","varbinary"
"dbo","pub_meel_elig_ent","meme_ck","Eligibility Events at Member Level","Member Contrived Key","int"
"dbo","pub_meel_elig_ent","meel_eff_dt","Eligibility Events at Member Level","Member Eligibility Effective Date","datetime"
"dbo","pub_meel_elig_ent","meel_insq_dt","Eligibility Events at Member Level","Member Eligibility Sequence Date","datetime"
"dbo","pub_meel_elig_ent","grgr_ck","Eligibility Events at Member Level","Group Contrived Key","int"
"dbo","pub_meel_elig_ent","meel_elig_type","Eligibility Events at Member Level","Member Eligibility Type","char"
"dbo","pub_meel_elig_ent","cspd_cat","Eligibility Events at Member Level","Class Product Category","char"
"dbo","pub_meel_elig_ent","cspi_id","Eligibility Events at Member Level","Class Plan Identifier","char"
"dbo","pub_meel_elig_ent","excd_id","Eligibility Events at Member Level","Explanation Code","char"
"dbo","pub_meel_elig_ent","meel_mctr_rsn","Eligibility Events at Member Level","Member Eligibility Reason","char"
"dbo","pub_meel_elig_ent","meel_void_ind","Eligibility Events at Member Level","Void Event","char"
"dbo","pub_meel_elig_ent","meel_mctr_orsn","Eligibility Events at Member Level","Reinstatement Selection Override Reason","char"
"dbo","pub_meel_elig_ent","usus_id","Eligibility Events at Member Level","User Identifier","char"
"dbo","pub_meel_elig_ent","meel_update_dtm","Eligibility Events at Member Level","Update date time","datetime"
"dbo","pub_meel_elig_ent","meel_lock_token","Eligibility Events at Member Level","Lock Token","smallint"
"dbo","pub_meel_elig_ent","atxr_source_id","Eligibility Events at Member Level","Attachment Source Id","datetime"
"dbo","pub_meel_elig_ent","meel_rate_as_ind_nvl","Eligibility Events at Member Level","Rate Member As Indicator","char"
"dbo","pub_meel_elig_ent","meel_mctr_vrsn_nvl","Eligibility Events at Member Level","Void Reason Code","char"
