"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_mepk_risk","pubh_mepk_row_id","Risk Score Data","PUBH_MEPK_ROW_ID","numeric"
"dbo","pub_mepk_risk","pubh_guid","Risk Score Data","Globally Unique Identifier","char"
"dbo","pub_mepk_risk","pubh_action_cd","Risk Score Data","Data Pub Action Code","char"
"dbo","pub_mepk_risk","pubh_lsn","Risk Score Data","Log Sequence Number","varbinary"
"dbo","pub_mepk_risk","pubh_seq_val","Risk Score Data","Transaction Sequence","varbinary"
"dbo","pub_mepk_risk","meme_ck","Risk Score Data","Member Contrived Key","int"
"dbo","pub_mepk_risk","mepk_mctr_rtyp","Risk Score Data","Risk Score Type","char"
"dbo","pub_mepk_risk","mepk_eff_dt","Risk Score Data","Effective Date","datetime"
"dbo","pub_mepk_risk","mepk_term_dt","Risk Score Data","Termination Date","datetime"
"dbo","pub_mepk_risk","mepk_mctr_trsn","Risk Score Data","Termination Reason","char"
"dbo","pub_mepk_risk","grgr_ck","Risk Score Data","Group Contrived Key","int"
"dbo","pub_mepk_risk","mepk_risk_score","Risk Score Data","Risk Score","int"
"dbo","pub_mepk_risk","mepk_lock_token","Risk Score Data","Lock Token","smallint"
"dbo","pub_mepk_risk","atxr_source_id","Risk Score Data","Attachment Source Id","datetime"
"dbo","pub_mepk_risk","sys_last_upd_dtm","Risk Score Data","Last Update Datetime","datetime"
"dbo","pub_mepk_risk","sys_usus_id","Risk Score Data","Last Update User ID","varchar"
"dbo","pub_mepk_risk","sys_dbuser_id","Risk Score Data","Last Update DBMS User ID","varchar"
