"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_mepr_prim_prov","pubh_mepr_row_id","Member's History of PCP Relationships","PUBH_MEPR_ROW_ID","numeric"
"dbo","pub_mepr_prim_prov","pubh_guid","Member's History of PCP Relationships","Globally Unique Identifier","char"
"dbo","pub_mepr_prim_prov","pubh_action_cd","Member's History of PCP Relationships","Data Pub Action Code","char"
"dbo","pub_mepr_prim_prov","pubh_lsn","Member's History of PCP Relationships","Log Sequence Number","varbinary"
"dbo","pub_mepr_prim_prov","pubh_seq_val","Member's History of PCP Relationships","Transaction Sequence","varbinary"
"dbo","pub_mepr_prim_prov","meme_ck","Member's History of PCP Relationships","Member Contrived Key","int"
"dbo","pub_mepr_prim_prov","mepr_pcp_type","Member's History of PCP Relationships","Primary Care Provider Type","char"
"dbo","pub_mepr_prim_prov","mepr_eff_dt","Member's History of PCP Relationships","Primary Care Provider Effective Date","datetime"
"dbo","pub_mepr_prim_prov","mepr_term_dt","Member's History of PCP Relationships","Primary Care Provider Termination Date","datetime"
"dbo","pub_mepr_prim_prov","mepr_mctr_trsn","Member's History of PCP Relationships","Primary Care Provider Termination Reason","char"
"dbo","pub_mepr_prim_prov","mepr_mctr_orsn","Member's History of PCP Relationships","PCP Selection Override Reason","char"
"dbo","pub_mepr_prim_prov","mepr_mctr_ersn","Member's History of PCP Relationships","Manual Assignment Reason","char"
"dbo","pub_mepr_prim_prov","grgr_ck","Member's History of PCP Relationships","Group Contrived Key","int"
"dbo","pub_mepr_prim_prov","prpr_id","Member's History of PCP Relationships","Provider Identifier","char"
"dbo","pub_mepr_prim_prov","mepr_source","Member's History of PCP Relationships","PCP Assignment Source","char"
"dbo","pub_mepr_prim_prov","mepr_demgrphc_ind","Member's History of PCP Relationships","Demographic Indicator","char"
"dbo","pub_mepr_prim_prov","mepr_cr_eff_dt","Member's History of PCP Relationships","Cap Retro Effective Date","datetime"
"dbo","pub_mepr_prim_prov","mepr_cr_term_dt","Member's History of PCP Relationships","Cap Retro Termination Date","datetime"
"dbo","pub_mepr_prim_prov","mepr_cap_rel_ent","Member's History of PCP Relationships","Related Capitated Entity Provider","char"
"dbo","pub_mepr_prim_prov","pdpd_cap_ret_mos","Member's History of PCP Relationships","Cap Retro Months","smallint"
"dbo","pub_mepr_prim_prov","mepr_lock_token","Member's History of PCP Relationships","Lock Token","smallint"
"dbo","pub_mepr_prim_prov","atxr_source_id","Member's History of PCP Relationships","Attachment Source Id","datetime"
"dbo","pub_mepr_prim_prov","sys_last_upd_dtm","Member's History of PCP Relationships","Last Update Datetime","datetime"
"dbo","pub_mepr_prim_prov","sys_usus_id","Member's History of PCP Relationships","Last Update User ID","varchar"
"dbo","pub_mepr_prim_prov","sys_dbuser_id","Member's History of PCP Relationships","Last Update DBMS User ID","varchar"
"dbo","pub_mepr_prim_prov","mepr_source_dt_nvl","Member's History of PCP Relationships","PCP Assignment Source Date","datetime"
