"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_mepv_prov","pubh_mepv_row_id","Provider Relationship Data","PUBH_MEPV_ROW_ID","numeric"
"dbo","pub_mepv_prov","pubh_guid","Provider Relationship Data","Globally Unique Identifier","char"
"dbo","pub_mepv_prov","pubh_action_cd","Provider Relationship Data","Data Pub Action Code","char"
"dbo","pub_mepv_prov","pubh_lsn","Provider Relationship Data","Log Sequence Number","varbinary"
"dbo","pub_mepv_prov","pubh_seq_val","Provider Relationship Data","Transaction Sequence","varbinary"
"dbo","pub_mepv_prov","meme_ck","Provider Relationship Data","Member Contrived Key","int"
"dbo","pub_mepv_prov","mepv_mctr_ptyp","Provider Relationship Data","Provider Relationship Type","char"
"dbo","pub_mepv_prov","mepv_eff_dt","Provider Relationship Data","Effective Date","datetime"
"dbo","pub_mepv_prov","mepv_term_dt","Provider Relationship Data","Termination Date","datetime"
"dbo","pub_mepv_prov","mepv_mctr_trsn","Provider Relationship Data","Termination Reason","char"
"dbo","pub_mepv_prov","grgr_ck","Provider Relationship Data","Group Contrived Key","int"
"dbo","pub_mepv_prov","prpr_id","Provider Relationship Data","Provider ID","char"
"dbo","pub_mepv_prov","mepv_lock_token","Provider Relationship Data","Lock Token","smallint"
"dbo","pub_mepv_prov","atxr_source_id","Provider Relationship Data","Attachment Source Id","datetime"
"dbo","pub_mepv_prov","sys_last_upd_dtm","Provider Relationship Data","Last Update Datetime","datetime"
"dbo","pub_mepv_prov","sys_usus_id","Provider Relationship Data","Last Update User ID","varchar"
"dbo","pub_mepv_prov","sys_dbuser_id","Provider Relationship Data","Last Update DBMS User ID","varchar"
