"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_mera_rec_act","pubh_mera_row_id","Member Reconciliation Activity","PUBH_MERA_ROW_ID","numeric"
"dbo","pub_mera_rec_act","pubh_guid","Member Reconciliation Activity","Globally Unique Identifier","char"
"dbo","pub_mera_rec_act","pubh_action_cd","Member Reconciliation Activity","Data Pub Action Code","char"
"dbo","pub_mera_rec_act","pubh_lsn","Member Reconciliation Activity","Log Sequence Number","varbinary"
"dbo","pub_mera_rec_act","pubh_seq_val","Member Reconciliation Activity","Transaction Sequence","varbinary"
"dbo","pub_mera_rec_act","mera_row_id","Member Reconciliation Activity","Row ID","numeric"
"dbo","pub_mera_rec_act","blei_ck","Member Reconciliation Activity","Billing Entity contrived key","int"
"dbo","pub_mera_rec_act","sbsb_ck","Member Reconciliation Activity","Subscriber Contrived Key","int"
"dbo","pub_mera_rec_act","blbl_due_dt","Member Reconciliation Activity","Last outstanding due date","datetime"
"dbo","pub_mera_rec_act","mera_create_dtm","Member Reconciliation Activity","Row create date","datetime"
"dbo","pub_mera_rec_act","mera_sts","Member Reconciliation Activity","Status","char"
"dbo","pub_mera_rec_act","mera_lock_token","Member Reconciliation Activity","Lock Token","smallint"
"dbo","pub_mera_rec_act","atxr_source_id","Member Reconciliation Activity","Attachment Source Id","datetime"
