"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_merd_rate_data","pubh_merd_row_id","Member Rate Data","PUBH_MERD_ROW_ID","numeric"
"dbo","pub_merd_rate_data","pubh_guid","Member Rate Data","Globally Unique Identifier","char"
"dbo","pub_merd_rate_data","pubh_action_cd","Member Rate Data","Data Pub Action Code","char"
"dbo","pub_merd_rate_data","pubh_lsn","Member Rate Data","Log Sequence Number","varbinary"
"dbo","pub_merd_rate_data","pubh_seq_val","Member Rate Data","Transaction Sequence","varbinary"
"dbo","pub_merd_rate_data","meme_ck","Member Rate Data","Member Contrived Key","int"
"dbo","pub_merd_rate_data","merd_eff_dt","Member Rate Data","Effective Date","datetime"
"dbo","pub_merd_rate_data","merd_insq_dt","Member Rate Data","Insequence Date","datetime"
"dbo","pub_merd_rate_data","grgr_ck","Member Rate Data","Group Contrived Key","int"
"dbo","pub_merd_rate_data","merd_type","Member Rate Data","Rate Data Type","char"
"dbo","pub_merd_rate_data","cspi_id","Member Rate Data","Class Plan Identifier","char"
"dbo","pub_merd_rate_data","merd_units","Member Rate Data","Elected Units","int"
"dbo","pub_merd_rate_data","merd_mod_fctr","Member Rate Data","Factor","int"
"dbo","pub_merd_rate_data","merd_mod_amt","Member Rate Data","Amount","money"
"dbo","pub_merd_rate_data","merd_lock_token","Member Rate Data","Lock Token","smallint"
"dbo","pub_merd_rate_data","atxr_source_id","Member Rate Data","Attachment Source Id","datetime"
