"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_mert_rate_data","pubh_mert_row_id","Member level rate Data","PUBH_MERT_ROW_ID","numeric"
"dbo","pub_mert_rate_data","pubh_guid","Member level rate Data","Globally Unique Identifier","char"
"dbo","pub_mert_rate_data","pubh_action_cd","Member level rate Data","Data Pub Action Code","char"
"dbo","pub_mert_rate_data","pubh_lsn","Member level rate Data","Log Sequence Number","varbinary"
"dbo","pub_mert_rate_data","pubh_seq_val","Member level rate Data","Transaction Sequence","varbinary"
"dbo","pub_mert_rate_data","meme_ck","Member level rate Data","Member Contrived Key","int"
"dbo","pub_mert_rate_data","mert_eff_dt","Member level rate Data","Member Rate Data Effective Date","datetime"
"dbo","pub_mert_rate_data","mert_term_dt","Member level rate Data","Member Rate Date Termination Date","datetime"
"dbo","pub_mert_rate_data","grgr_ck","Member level rate Data","Group Contrived Key","int"
"dbo","pub_mert_rate_data","mert_smoker_ind","Member level rate Data","Smoker Indicator","char"
"dbo","pub_mert_rate_data","mert_mctr_fct1","Member level rate Data","Underwriting Classification 1","char"
"dbo","pub_mert_rate_data","mert_mctr_fct2","Member level rate Data","Underwriting Classification 2","char"
"dbo","pub_mert_rate_data","mert_mctr_fct3","Member level rate Data","Underwriting Classification 3","char"
"dbo","pub_mert_rate_data","mert_lock_token","Member level rate Data","Lock Token","smallint"
"dbo","pub_mert_rate_data","atxr_source_id","Member level rate Data","Attachment Source Id","datetime"
