"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_mesa_susp_act","pubh_mesa_row_id","Member Suspend Capitation Action","PUBH_MESA_ROW_ID","numeric"
"dbo","pub_mesa_susp_act","pubh_guid","Member Suspend Capitation Action","Globally Unique Identifier","char"
"dbo","pub_mesa_susp_act","pubh_action_cd","Member Suspend Capitation Action","Data Pub Action Code","char"
"dbo","pub_mesa_susp_act","pubh_lsn","Member Suspend Capitation Action","Log Sequence Number","varbinary"
"dbo","pub_mesa_susp_act","pubh_seq_val","Member Suspend Capitation Action","Transaction Sequence","varbinary"
"dbo","pub_mesa_susp_act","meme_ck","Member Suspend Capitation Action","Member Contrived Key","int"
"dbo","pub_mesa_susp_act","meet_excp_type","Member Suspend Capitation Action","Exception Type","char"
"dbo","pub_mesa_susp_act","cspd_cat","Member Suspend Capitation Action","Category","char"
"dbo","pub_mesa_susp_act","meet_eff_dt","Member Suspend Capitation Action","Effective Date","datetime"
"dbo","pub_mesa_susp_act","mesa_row_id","Member Suspend Capitation Action","Row ID","numeric"
"dbo","pub_mesa_susp_act","mesa_sts","Member Suspend Capitation Action","Status","smallint"
"dbo","pub_mesa_susp_act","mesa_pay_dt","Member Suspend Capitation Action","Capitation Pay Date","datetime"
"dbo","pub_mesa_susp_act","mesa_create_dtm","Member Suspend Capitation Action","Create Date","datetime"
"dbo","pub_mesa_susp_act","mesa_lock_token","Member Suspend Capitation Action","Lock Token","smallint"
"dbo","pub_mesa_susp_act","atxr_source_id","Member Suspend Capitation Action","Attachment Source Id","datetime"
