"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_mewm_me_msg","pubh_mewm_row_id","Member Level Warning Messages","PUBH_MEWM_ROW_ID","numeric"
"dbo","pub_mewm_me_msg","pubh_guid","Member Level Warning Messages","Globally Unique Identifier","char"
"dbo","pub_mewm_me_msg","pubh_action_cd","Member Level Warning Messages","Data Pub Action Code","char"
"dbo","pub_mewm_me_msg","pubh_lsn","Member Level Warning Messages","Log Sequence Number","varbinary"
"dbo","pub_mewm_me_msg","pubh_seq_val","Member Level Warning Messages","Transaction Sequence","varbinary"
"dbo","pub_mewm_me_msg","meme_ck","Member Level Warning Messages","Member Contrived Key","int"
"dbo","pub_mewm_me_msg","mewm_eff_dt","Member Level Warning Messages","Effective Date","datetime"
"dbo","pub_mewm_me_msg","wmds_seq_no","Member Level Warning Messages","User Message","smallint"
"dbo","pub_mewm_me_msg","mewm_term_dt","Member Level Warning Messages","Termination Date","datetime"
"dbo","pub_mewm_me_msg","mewm_mctr_trsn","Member Level Warning Messages","Termination Reason","char"
"dbo","pub_mewm_me_msg","grgr_ck","Member Level Warning Messages","Group Contrived Key","int"
"dbo","pub_mewm_me_msg","mewm_lock_token","Member Level Warning Messages","Lock Token","smallint"
"dbo","pub_mewm_me_msg","atxr_source_id","Member Level Warning Messages","Attachment Source Id","datetime"
"dbo","pub_mewm_me_msg","sys_last_upd_dtm","Member Level Warning Messages","Last Update Datetime","datetime"
"dbo","pub_mewm_me_msg","sys_usus_id","Member Level Warning Messages","Last Update User ID","varchar"
"dbo","pub_mewm_me_msg","sys_dbuser_id","Member Level Warning Messages","Last Update DBMS User ID","varchar"
