"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_ntnb_note_base","pubh_ntnb_row_id","UM/CM Note Data","Row Identifier","numeric"
"dbo","pub_ntnb_note_base","pubh_guid","UM/CM Note Data","Globally Unique Identifier","char"
"dbo","pub_ntnb_note_base","pubh_action_cd","UM/CM Note Data","Data Pub Action Code","char"
"dbo","pub_ntnb_note_base","pubh_lsn","UM/CM Note Data","Log Sequence Number","varbinary"
"dbo","pub_ntnb_note_base","pubh_seq_val","UM/CM Note Data","Transaction Sequence","varbinary"
"dbo","pub_ntnb_note_base","ntnb_id","UM/CM Note Data","Facets defined - Note ID","datetime"
"dbo","pub_ntnb_note_base","ntnb_input_dtm","UM/CM Note Data","Note Input Date","datetime"
"dbo","pub_ntnb_note_base","ntnb_input_usid","UM/CM Note Data","Input User ID","char"
"dbo","pub_ntnb_note_base","ntnb_upd_usid","UM/CM Note Data","Update User ID","char"
"dbo","pub_ntnb_note_base","ntnb_upd_dtm","UM/CM Note Data","Update Date and Time","datetime"
"dbo","pub_ntnb_note_base","ntnb_cat","UM/CM Note Data","Note Category","char"
"dbo","pub_ntnb_note_base","ntnb_mctr_subj","UM/CM Note Data","Note Subject","char"
"dbo","pub_ntnb_note_base","ntnb_summary","UM/CM Note Data","Summary","char"
"dbo","pub_ntnb_note_base","ntnb_lock_token","UM/CM Note Data","Lock Token","smallint"
"dbo","pub_ntnb_note_base","atxr_source_id","UM/CM Note Data","Attachment Source Id","datetime"
