"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prad_address","pubh_prad_row_id","Provider Address Information by Address Type","PUBH_PRAD_ROW_ID","numeric"
"dbo","pub_prad_address","pubh_guid","Provider Address Information by Address Type","Globally Unique Identifier","char"
"dbo","pub_prad_address","pubh_action_cd","Provider Address Information by Address Type","Data Pub Action Code","char"
"dbo","pub_prad_address","pubh_lsn","Provider Address Information by Address Type","Log Sequence Number","varbinary"
"dbo","pub_prad_address","pubh_seq_val","Provider Address Information by Address Type","Transaction Sequence","varbinary"
"dbo","pub_prad_address","prad_id","Provider Address Information by Address Type","Provider Address ID","char"
"dbo","pub_prad_address","prad_type","Provider Address Information by Address Type","Provider Address Type","char"
"dbo","pub_prad_address","prad_eff_dt","Provider Address Information by Address Type","Provider Address (Type) Effective Date","datetime"
"dbo","pub_prad_address","prad_term_dt","Provider Address Information by Address Type","Provider Address (Type) Termination Date","datetime"
"dbo","pub_prad_address","prad_addr1","Provider Address Information by Address Type","Provider Address (Type) Line 1","char"
"dbo","pub_prad_address","prad_addr2","Provider Address Information by Address Type","Provider Address (Type) Line 2","char"
"dbo","pub_prad_address","prad_addr3","Provider Address Information by Address Type","Provider Address (Type) Line 3","char"
"dbo","pub_prad_address","prad_city","Provider Address Information by Address Type","Provider Address (Type)  City","char"
"dbo","pub_prad_address","prad_state","Provider Address Information by Address Type","Provider Address (Type) State","char"
"dbo","pub_prad_address","prad_zip","Provider Address Information by Address Type","The provider's zip code.","char"
"dbo","pub_prad_address","prad_county","Provider Address Information by Address Type","Provider Address (Type) County","char"
"dbo","pub_prad_address","prad_ctry_cd","Provider Address Information by Address Type","Provider Address (Type) Country","char"
"dbo","pub_prad_address","prad_phone","Provider Address Information by Address Type","Provider Address (Type) Phone Number","char"
"dbo","pub_prad_address","prad_phone_ext","Provider Address Information by Address Type","Provider Address (Type) Phone Extension Number","char"
"dbo","pub_prad_address","prad_fax","Provider Address Information by Address Type","Provider Address (Type) Fax Number","char"
"dbo","pub_prad_address","prad_fax_ext","Provider Address Information by Address Type","Provider Address (Type) Fax Number Extension","char"
"dbo","pub_prad_address","prad_email","Provider Address Information by Address Type","Provider Address (Type) Email","char"
"dbo","pub_prad_address","prad_hd_ind","Provider Address Information by Address Type","Provider Address (Type) Handicap Access Indicator","char"
"dbo","pub_prad_address","prad_practice_ind","Provider Address Information by Address Type","Provider Address (Type) Practice Indicator","char"
"dbo","pub_prad_address","prad_city_xlow","Provider Address Information by Address Type","Provider Address (Type) City Case Insensitivity Field","char"
"dbo","pub_prad_address","prad_type_mail","Provider Address Information by Address Type","Provider Address (Type) Corresponding Mailing Address","char"
"dbo","pub_prad_address","prad_mctr_trsn","Provider Address Information by Address Type","Provider Address (Type) Termination Reason","char"
"dbo","pub_prad_address","prad_directory_ind","Provider Address Information by Address Type","Provider Address (Type) Directory Indicator","char"
"dbo","pub_prad_address","prad_long","Provider Address Information by Address Type","Provider Address Longitude","int"
"dbo","pub_prad_address","prad_lat","Provider Address Information by Address Type","Provider Address Latitude","int"
"dbo","pub_prad_address","prad_geo_rtrn_cd","Provider Address Information by Address Type","Provider Address Geo Access Return Code","char"
"dbo","pub_prad_address","prad_lock_token","Provider Address Information by Address Type","Lock Token","smallint"
"dbo","pub_prad_address","atxr_source_id","Provider Address Information by Address Type","Attachment Source Id","datetime"
"dbo","pub_prad_address","sys_last_upd_dtm","Provider Address Information by Address Type","Last Update Datetime","datetime"
"dbo","pub_prad_address","sys_usus_id","Provider Address Information by Address Type","Last Update User ID","varchar"
"dbo","pub_prad_address","sys_dbuser_id","Provider Address Information by Address Type","Last Update DBMS User ID","varchar"
"dbo","pub_prad_address","prad_mel_rtrn_cd_nvl","Provider Address Information by Address Type","Provider Address Melissa Data Return Code","varchar"
