"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_praf_fac_affil","pubh_praf_row_id","Associated Providers Table","Row Id","numeric"
"dbo","pub_praf_fac_affil","pubh_guid","Associated Providers Table","Globally Unique Identifier","char"
"dbo","pub_praf_fac_affil","pubh_action_cd","Associated Providers Table","Data Pub Action Code","char"
"dbo","pub_praf_fac_affil","pubh_lsn","Associated Providers Table","Log Sequence Number","varbinary"
"dbo","pub_praf_fac_affil","pubh_seq_val","Associated Providers Table","Transaction Sequence","varbinary"
"dbo","pub_praf_fac_affil","prpr_id","Associated Providers Table","Provider ID (Facility)","char"
"dbo","pub_praf_fac_affil","prcr_id","Associated Providers Table","Credentialing ID","char"
"dbo","pub_praf_fac_affil","praf_sts","Associated Providers Table","Provider Affiliation Status","char"
"dbo","pub_praf_fac_affil","praf_mctr_spec","Associated Providers Table","Provider Affiliation Specialty","char"
"dbo","pub_praf_fac_affil","praf_from_dt","Associated Providers Table","Provider Affiliation Effective Date","datetime"
"dbo","pub_praf_fac_affil","praf_to_dt","Associated Providers Table","Provider Affiliation Termination Date","datetime"
"dbo","pub_praf_fac_affil","praf_prim_ind","Associated Providers Table","Provider Affiliation-Primary Affiliation","char"
"dbo","pub_praf_fac_affil","praf_mctr_trsn","Associated Providers Table","Provider Affiliation Termination Reason","char"
"dbo","pub_praf_fac_affil","praf_last_ver_dt","Associated Providers Table","Provider Affiliation Last Verification Date","datetime"
"dbo","pub_praf_fac_affil","praf_init_ver_dt","Associated Providers Table","Provider Affiliation Initial Verification Date","datetime"
"dbo","pub_praf_fac_affil","praf_next_ver_dt","Associated Providers Table","Provider Affiliation Next Verification Request","datetime"
"dbo","pub_praf_fac_affil","praf_rcvd_ver_dt","Associated Providers Table","Provider Affiliation Verification Received Date","datetime"
"dbo","pub_praf_fac_affil","praf_mctr_vsrc","Associated Providers Table","Provider Affiliation Verification Source","char"
"dbo","pub_praf_fac_affil","praf_prim_ver_ind","Associated Providers Table","Provider Affiliation Source Type","char"
"dbo","pub_praf_fac_affil","praf_mctr_vrsl","Associated Providers Table","Provider Affiliation Source Outcome","char"
"dbo","pub_praf_fac_affil","praf_last_ver_name","Associated Providers Table","Provider Affiliation Last Verification Name","char"
"dbo","pub_praf_fac_affil","praf_mctr_vmth","Associated Providers Table","Provider Affiliation Last Verification Method","char"
"dbo","pub_praf_fac_affil","praf_lock_token","Associated Providers Table","Lock Token","smallint"
"dbo","pub_praf_fac_affil","atxr_source_id","Associated Providers Table","Attachment Source Id","datetime"
