"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prcp_comm_prac","pubh_prcp_row_id","Common Provider Indicative Information","PUBH_PRCP_ROW_ID","numeric"
"dbo","pub_prcp_comm_prac","pubh_guid","Common Provider Indicative Information","Globally Unique Identifier","char"
"dbo","pub_prcp_comm_prac","pubh_action_cd","Common Provider Indicative Information","Data Pub Action Code","char"
"dbo","pub_prcp_comm_prac","pubh_lsn","Common Provider Indicative Information","Log Sequence Number","varbinary"
"dbo","pub_prcp_comm_prac","pubh_seq_val","Common Provider Indicative Information","Transaction Sequence","varbinary"
"dbo","pub_prcp_comm_prac","prcp_id","Common Provider Indicative Information","Common Practitioner Identifier","char"
"dbo","pub_prcp_comm_prac","prcp_ssn","Common Provider Indicative Information","Common Practitioner Social Security Number","char"
"dbo","pub_prcp_comm_prac","prcp_last_name","Common Provider Indicative Information","Common Practitioner Last Name","char"
"dbo","pub_prcp_comm_prac","prcp_first_name","Common Provider Indicative Information","Common Practitioner First Name","char"
"dbo","pub_prcp_comm_prac","prcp_mid_init","Common Provider Indicative Information","Common Practitioner Middle Initial","char"
"dbo","pub_prcp_comm_prac","prcp_title","Common Provider Indicative Information","Common Practitioner Title","char"
"dbo","pub_prcp_comm_prac","prcp_sex","Common Provider Indicative Information","Common Practitioner Gender","char"
"dbo","pub_prcp_comm_prac","prcp_birth_dt","Common Provider Indicative Information","Common Practitioner Birth Date","datetime"
"dbo","pub_prcp_comm_prac","prcp_last_chan_dtm","Common Provider Indicative Information","Common Practitioner Last Channel Date","datetime"
"dbo","pub_prcp_comm_prac","prcp_tier_no","Common Provider Indicative Information","Common Practitioner Tier Number","smallint"
"dbo","pub_prcp_comm_prac","prcp_last_name_xlow","Common Provider Indicative Information","Common Practitioner Last Name Case Insensitivity Field","char"
"dbo","pub_prcp_comm_prac","prcp_mccy_ctry","Common Provider Indicative Information","Common Practitioner Country of Citizenship","char"
"dbo","pub_prcp_comm_prac","prcr_id","Common Provider Indicative Information","Credentialing Identifier","char"
"dbo","pub_prcp_comm_prac","prcp_mctr_lang","Common Provider Indicative Information","Common Practitioner Language Indicator","char"
"dbo","pub_prcp_comm_prac","prcp_extn_addr_ind","Common Provider Indicative Information","Common Practitioner External Address Indicator","char"
"dbo","pub_prcp_comm_prac","prcp_npi","Common Provider Indicative Information","National Provider Identifier","char"
"dbo","pub_prcp_comm_prac","prcp_term_dt","Common Provider Indicative Information","Common Practitioner Termination Date","datetime"
"dbo","pub_prcp_comm_prac","prcp_mctr_trsn","Common Provider Indicative Information","Common Practitioner Termination Reason","char"
"dbo","pub_prcp_comm_prac","prcp_lock_token","Common Provider Indicative Information","Lock Token","smallint"
"dbo","pub_prcp_comm_prac","atxr_source_id","Common Provider Indicative Information","Attachment Source Id","datetime"
"dbo","pub_prcp_comm_prac","sys_last_upd_dtm","Common Provider Indicative Information","Last Update Datetime","datetime"
"dbo","pub_prcp_comm_prac","sys_usus_id","Common Provider Indicative Information","Last Update User ID","varchar"
"dbo","pub_prcp_comm_prac","sys_dbuser_id","Common Provider Indicative Information","Last Update DBMS User ID","varchar"
