"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prcv_cov_prac","pubh_prcv_row_id","Provider Covering Provider Relationship Information","Row Identifier","numeric"
"dbo","pub_prcv_cov_prac","pubh_guid","Provider Covering Provider Relationship Information","Globally Unique Identifier","char"
"dbo","pub_prcv_cov_prac","pubh_action_cd","Provider Covering Provider Relationship Information","Data Pub Action Code","char"
"dbo","pub_prcv_cov_prac","pubh_lsn","Provider Covering Provider Relationship Information","Log Sequence Number","varbinary"
"dbo","pub_prcv_cov_prac","pubh_seq_val","Provider Covering Provider Relationship Information","Transaction Sequence","varbinary"
"dbo","pub_prcv_cov_prac","prpr_id","Provider Covering Provider Relationship Information","Servicing Provider","char"
"dbo","pub_prcv_cov_prac","prcv_prpr_id","Provider Covering Provider Relationship Information","Covering Provider Identifier","char"
"dbo","pub_prcv_cov_prac","prcv_pfx","Provider Covering Provider Relationship Information","Covering Provider Relationship Prefix","char"
"dbo","pub_prcv_cov_prac","prcv_eff_dt","Provider Covering Provider Relationship Information","Covering Provider Relationship Effective Date","datetime"
"dbo","pub_prcv_cov_prac","prcv_term_dt","Provider Covering Provider Relationship Information","Covering Provider Relationship Termination Date","datetime"
"dbo","pub_prcv_cov_prac","agag_id","Provider Covering Provider Relationship Information","Provider Agreement Identifier","char"
"dbo","pub_prcv_cov_prac","prcv_mctr_trsn","Provider Covering Provider Relationship Information","Covering Provider Relationship Termination Reason","char"
"dbo","pub_prcv_cov_prac","prcv_include_ind","Provider Covering Provider Relationship Information","Covering Provider Relationship Status","char"
"dbo","pub_prcv_cov_prac","prcv_lock_token","Provider Covering Provider Relationship Information","Lock Token","smallint"
"dbo","pub_prcv_cov_prac","atxr_source_id","Provider Covering Provider Relationship Information","Attachment Source Id","datetime"
