"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prfa_facility","pubh_prfa_row_id","Facility Bed Types","Row Identifier","numeric"
"dbo","pub_prfa_facility","pubh_guid","Facility Bed Types","Globally Unique Identifier","char"
"dbo","pub_prfa_facility","pubh_action_cd","Facility Bed Types","Data Pub Action Code","char"
"dbo","pub_prfa_facility","pubh_lsn","Facility Bed Types","Log Sequence Number","varbinary"
"dbo","pub_prfa_facility","pubh_seq_val","Facility Bed Types","Transaction Sequence","varbinary"
"dbo","pub_prfa_facility","prpr_id","Facility Bed Types","Servicing Provider","char"
"dbo","pub_prfa_facility","prfa_name","Facility Bed Types","Facility Name","char"
"dbo","pub_prfa_facility","prfa_aha_fac_no","Facility Bed Types","Facility American Hospital Association Facility Number","char"
"dbo","pub_prfa_facility","prfa_ama_fac_no","Facility Bed Types","Facility American Medical Association Facility Number","char"
"dbo","pub_prfa_facility","prfa_sp_room_rate","Facility Bed Types","Facility (Average) Semi-Private Room Rate","money"
"dbo","pub_prfa_facility","prfa_last_chan_dt","Facility Bed Types","Facility Last Channel Date","datetime"
"dbo","pub_prfa_facility","prfa_name_xlow","Facility Bed Types","Facility Name Case Insensitive Field","char"
"dbo","pub_prfa_facility","prcr_id","Facility Bed Types","Credentialing ID","char"
"dbo","pub_prfa_facility","prfa_lock_token","Facility Bed Types","Lock Token","smallint"
"dbo","pub_prfa_facility","atxr_source_id","Facility Bed Types","Attachment Source Id","datetime"
