"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prgu_prog_det","pubh_prgu_row_id","Provider Program Relationship Details Table","Row Identifier","numeric"
"dbo","pub_prgu_prog_det","pubh_guid","Provider Program Relationship Details Table","Globally Unique Identifier","char"
"dbo","pub_prgu_prog_det","pubh_action_cd","Provider Program Relationship Details Table","Data Pub Action Code","char"
"dbo","pub_prgu_prog_det","pubh_lsn","Provider Program Relationship Details Table","Log Sequence Number","varbinary"
"dbo","pub_prgu_prog_det","pubh_seq_val","Provider Program Relationship Details Table","Transaction Sequence","varbinary"
"dbo","pub_prgu_prog_det","prpr_id","Provider Program Relationship Details Table","Effective Date","char"
"dbo","pub_prgu_prog_det","prpg_id","Provider Program Relationship Details Table","Provider Program ID","char"
"dbo","pub_prgu_prog_det","prep_eff_dt","Provider Program Relationship Details Table","Effective Date","datetime"
"dbo","pub_prgu_prog_det","prgu_type","Provider Program Relationship Details Table","Attribute Type","char"
"dbo","pub_prgu_prog_det","prgu_mctr_value","Provider Program Relationship Details Table","Provider Program Value","char"
"dbo","pub_prgu_prog_det","prgu_lock_token","Provider Program Relationship Details Table","Lock Token","smallint"
"dbo","pub_prgu_prog_det","atxr_source_id","Provider Program Relationship Details Table","Attachment Source Id","datetime"
"dbo","pub_prgu_prog_det","sys_last_upd_dtm","Provider Program Relationship Details Table","Last Update Datetime","datetime"
"dbo","pub_prgu_prog_det","sys_usus_id","Provider Program Relationship Details Table","Last Update User ID","varchar"
"dbo","pub_prgu_prog_det","sys_dbuser_id","Provider Program Relationship Details Table","Last Update DBMS User ID","varchar"
