"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prmo_monitor","pubh_prmo_row_id","User Defined Credentialing and Recredentialing Information","Row Identifier","numeric"
"dbo","pub_prmo_monitor","pubh_guid","User Defined Credentialing and Recredentialing Information","Globally Unique Identifier","char"
"dbo","pub_prmo_monitor","pubh_action_cd","User Defined Credentialing and Recredentialing Information","Data Pub Action Code","char"
"dbo","pub_prmo_monitor","pubh_lsn","User Defined Credentialing and Recredentialing Information","Log Sequence Number","varbinary"
"dbo","pub_prmo_monitor","pubh_seq_val","User Defined Credentialing and Recredentialing Information","Transaction Sequence","varbinary"
"dbo","pub_prmo_monitor","prcp_id","User Defined Credentialing and Recredentialing Information","Common Practitioner ID","char"
"dbo","pub_prmo_monitor","mcre_id","User Defined Credentialing and Recredentialing Information","External Vendor ID","char"
"dbo","pub_prmo_monitor","prmo_last_ver_dt","User Defined Credentialing and Recredentialing Information","Provider Monitoring Last Date Verification Requested","datetime"
"dbo","pub_prmo_monitor","prmo_init_ver_dt","User Defined Credentialing and Recredentialing Information","Provider Monitoring Initial Date Verification Request","datetime"
"dbo","pub_prmo_monitor","prmo_next_ver_dt","User Defined Credentialing and Recredentialing Information","Provider Monitoring Next Date Verification Requested","datetime"
"dbo","pub_prmo_monitor","prmo_rcvd_ver_dt","User Defined Credentialing and Recredentialing Information","Provider Monitoring Date Verification Received","datetime"
"dbo","pub_prmo_monitor","prmo_mctr_vsrc","User Defined Credentialing and Recredentialing Information","Provider Monitoring Verification Source","char"
"dbo","pub_prmo_monitor","prmo_prim_ver_ind","User Defined Credentialing and Recredentialing Information","Provider Monitoring Verification Indicator","char"
"dbo","pub_prmo_monitor","prmo_mctr_vrsl","User Defined Credentialing and Recredentialing Information","Provider Monitoring Verification Result","char"
"dbo","pub_prmo_monitor","prmo_last_ver_name","User Defined Credentialing and Recredentialing Information","Provider Monitoring Verified By","char"
"dbo","pub_prmo_monitor","prmo_mctr_vmth","User Defined Credentialing and Recredentialing Information","Provider Monitoring Verification Method","char"
"dbo","pub_prmo_monitor","prmo_comment","User Defined Credentialing and Recredentialing Information","Provider Monitoring Comments (Free Form)","char"
"dbo","pub_prmo_monitor","prmo_lock_token","User Defined Credentialing and Recredentialing Information","Lock Token","smallint"
"dbo","pub_prmo_monitor","atxr_source_id","User Defined Credentialing and Recredentialing Information","Attachment Source Id","datetime"
