"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prpm_relation","pubh_prpm_row_id","Provider Malpractice Information","Row Identifier","numeric"
"dbo","pub_prpm_relation","pubh_guid","Provider Malpractice Information","Globally Unique Identifier","char"
"dbo","pub_prpm_relation","pubh_action_cd","Provider Malpractice Information","Data Pub Action Code","char"
"dbo","pub_prpm_relation","pubh_lsn","Provider Malpractice Information","Log Sequence Number","varbinary"
"dbo","pub_prpm_relation","pubh_seq_val","Provider Malpractice Information","Transaction Sequence","varbinary"
"dbo","pub_prpm_relation","prcr_id","Provider Malpractice Information","Credentialing ID","char"
"dbo","pub_prpm_relation","mcre_malp_id","Provider Malpractice Information","Provider Malpractice Carrier ID","char"
"dbo","pub_prpm_relation","prpm_seq_no","Provider Malpractice Information","Provider Malpractice Carrier Relationship Sequence Number","smallint"
"dbo","pub_prpm_relation","prpm_policy_no","Provider Malpractice Information","Provider Malpractice Carrier Relationship Policy Number","char"
"dbo","pub_prpm_relation","prpm_paid_thru_dt","Provider Malpractice Information","Provider Malpractice Carrier Relationship Paid Thru Date","datetime"
"dbo","pub_prpm_relation","prpm_agg_amt","Provider Malpractice Information","Provider Malpractice Carrier Relationship Aggregate Amount","money"
"dbo","pub_prpm_relation","prpm_per_occur_amt","Provider Malpractice Information","Provider Malpractice Carrier Relationship Per Occurance Amount","money"
"dbo","pub_prpm_relation","prpm_state","Provider Malpractice Information","Provider Malpractice Carrier Relationship Carrier State","char"
"dbo","pub_prpm_relation","prpm_grp_id","Provider Malpractice Information","Provider Malpractice Carrier Relationship Group Identifier","char"
"dbo","pub_prpm_relation","prpm_last_ver_dt","Provider Malpractice Information","Provider Malpractice Carrier Relationship Last Verification Date","datetime"
"dbo","pub_prpm_relation","prpm_init_ver_dt","Provider Malpractice Information","Provider Malpractice Carrier Relationship Initial Verification Date","datetime"
"dbo","pub_prpm_relation","prpm_next_ver_dt","Provider Malpractice Information","Provider Malpractice Carrier Relationship Next Verification Request","datetime"
"dbo","pub_prpm_relation","prpm_rcvd_ver_dt","Provider Malpractice Information","Provider Malpractice Carrier Relationship Verification Received Date","datetime"
"dbo","pub_prpm_relation","prpm_mctr_vsrc","Provider Malpractice Information","Provider Malpractice Carrier Relationship Verification Source","char"
"dbo","pub_prpm_relation","prpm_prim_ver_ind","Provider Malpractice Information","Provider Malpractice Carrier Relationship Source Type","char"
"dbo","pub_prpm_relation","prpm_mctr_vrsl","Provider Malpractice Information","Provider Malpractice Carrier Relationship Source Outcome","char"
"dbo","pub_prpm_relation","prpm_last_ver_name","Provider Malpractice Information","Provider Malpractice Carrier Relationship Last Verification Name","varchar"
"dbo","pub_prpm_relation","prpm_mctr_vmth","Provider Malpractice Information","Provider Malpractice Carrier Relationship Verification Method","char"
"dbo","pub_prpm_relation","prpm_mctr_type","Provider Malpractice Information","Malpractice Coverage Type","char"
"dbo","pub_prpm_relation","prpm_issue_dt","Provider Malpractice Information","Issue Date","datetime"
"dbo","pub_prpm_relation","prpm_lock_token","Provider Malpractice Information","Lock Token","smallint"
"dbo","pub_prpm_relation","atxr_source_id","Provider Malpractice Information","Attachment Source Id","datetime"
