"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prqa_qa","pubh_prqa_row_id","Provider Quality Assurance Information","Row Identifier","numeric"
"dbo","pub_prqa_qa","pubh_guid","Provider Quality Assurance Information","Globally Unique Identifier","char"
"dbo","pub_prqa_qa","pubh_action_cd","Provider Quality Assurance Information","Data Pub Action Code","char"
"dbo","pub_prqa_qa","pubh_lsn","Provider Quality Assurance Information","Log Sequence Number","varbinary"
"dbo","pub_prqa_qa","pubh_seq_val","Provider Quality Assurance Information","Transaction Sequence","varbinary"
"dbo","pub_prqa_qa","prcr_id","Provider Quality Assurance Information","Credentialing ID","char"
"dbo","pub_prqa_qa","prqa_mctr_type","Provider Quality Assurance Information","Provider Quality Assurance Type","char"
"dbo","pub_prqa_qa","prqa_mctr_item","Provider Quality Assurance Information","Provider Quality Assurance Item","char"
"dbo","pub_prqa_qa","prqa_last_ver_dt","Provider Quality Assurance Information","Provider Quality Assurance Last Date Verification Requested","datetime"
"dbo","pub_prqa_qa","prqa_init_ver_dt","Provider Quality Assurance Information","Provider Quality Assurance Initial Date Verification Request","datetime"
"dbo","pub_prqa_qa","prqa_next_ver_dt","Provider Quality Assurance Information","Provider Quality Assurance Next Date Verification Requested","datetime"
"dbo","pub_prqa_qa","prqa_rcvd_ver_dt","Provider Quality Assurance Information","Provider Quality Assurance Date Verification Received","datetime"
"dbo","pub_prqa_qa","prqa_mctr_vsrc","Provider Quality Assurance Information","Provider Quality Assurance Monitor Verification Source","char"
"dbo","pub_prqa_qa","prqa_prim_ver_ind","Provider Quality Assurance Information","Provider Quality Assurance Verification Indicator","char"
"dbo","pub_prqa_qa","prqa_mctr_vrsl","Provider Quality Assurance Information","Provider Quality Assurance Verification Result","char"
"dbo","pub_prqa_qa","prqa_last_ver_name","Provider Quality Assurance Information","Provider Quality Assurance Verified By","char"
"dbo","pub_prqa_qa","prqa_mctr_vmth","Provider Quality Assurance Information","Provider Quality Assurance Primary Verification Method","char"
"dbo","pub_prqa_qa","prqa_comment","Provider Quality Assurance Information","Provider Quality Assurance Comments","char"
"dbo","pub_prqa_qa","prqa_lock_token","Provider Quality Assurance Information","Lock Token","smallint"
"dbo","pub_prqa_qa","atxr_source_id","Provider Quality Assurance Information","Attachment Source Id","datetime"
