"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prre_relation","pubh_prre_row_id","Provider/Managed Care Related Entity Relationship Information","Row Identifier","numeric"
"dbo","pub_prre_relation","pubh_guid","Provider/Managed Care Related Entity Relationship Information","Globally Unique Identifier","char"
"dbo","pub_prre_relation","pubh_action_cd","Provider/Managed Care Related Entity Relationship Information","Data Pub Action Code","char"
"dbo","pub_prre_relation","pubh_lsn","Provider/Managed Care Related Entity Relationship Information","Log Sequence Number","varbinary"
"dbo","pub_prre_relation","pubh_seq_val","Provider/Managed Care Related Entity Relationship Information","Transaction Sequence","varbinary"
"dbo","pub_prre_relation","prcr_id","Provider/Managed Care Related Entity Relationship Information","Credentialing ID","char"
"dbo","pub_prre_relation","prre_mctr_type","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Type","char"
"dbo","pub_prre_relation","mcre_id","Provider/Managed Care Related Entity Relationship Information","External Vendor ID","char"
"dbo","pub_prre_relation","prre_eff_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Effective Date","datetime"
"dbo","pub_prre_relation","prre_term_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Termination Date","datetime"
"dbo","pub_prre_relation","prre_mctr_trsn","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Termination Reason","char"
"dbo","pub_prre_relation","prre_last_ver_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Last Verification Date","datetime"
"dbo","pub_prre_relation","prre_init_ver_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Initial Verification Date","datetime"
"dbo","pub_prre_relation","prre_next_ver_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Next Verification Request","datetime"
"dbo","pub_prre_relation","prre_rcvd_ver_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Verification Received Date","datetime"
"dbo","pub_prre_relation","prre_mctr_vsrc","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Verification Source","char"
"dbo","pub_prre_relation","prre_prim_ver_ind","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Primary Verification Indicator","char"
"dbo","pub_prre_relation","prre_mctr_vrsl","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Source Results","char"
"dbo","pub_prre_relation","prre_last_ver_name","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Verification Name","char"
"dbo","pub_prre_relation","prre_mctr_vmth","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Verification Method","char"
"dbo","pub_prre_relation","prre_lock_token","Provider/Managed Care Related Entity Relationship Information","Lock Token","smallint"
"dbo","pub_prre_relation","atxr_source_id","Provider/Managed Care Related Entity Relationship Information","Attachment Source Id","datetime"
