"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prrg_reg","pubh_prrg_row_id","Provider Registration Indicative Information","Row Identifier","numeric"
"dbo","pub_prrg_reg","pubh_guid","Provider Registration Indicative Information","Globally Unique Identifier","char"
"dbo","pub_prrg_reg","pubh_action_cd","Provider Registration Indicative Information","Data Pub Action Code","char"
"dbo","pub_prrg_reg","pubh_lsn","Provider Registration Indicative Information","Log Sequence Number","varbinary"
"dbo","pub_prrg_reg","pubh_seq_val","Provider Registration Indicative Information","Transaction Sequence","varbinary"
"dbo","pub_prrg_reg","prcr_id","Provider Registration Indicative Information","Credentialing ID","char"
"dbo","pub_prrg_reg","prrg_mctr_type","Provider Registration Indicative Information","Provider Registration Type","char"
"dbo","pub_prrg_reg","prrg_seq_no","Provider Registration Indicative Information","Provider Registration Sequence Number","smallint"
"dbo","pub_prrg_reg","prrg_id","Provider Registration Indicative Information","Provider Registration Identifier","char"
"dbo","pub_prrg_reg","prrg_eff_dt","Provider Registration Indicative Information","Provider Registration Effective Date","datetime"
"dbo","pub_prrg_reg","prrg_term_dt","Provider Registration Indicative Information","Provider Registration Term Date","datetime"
"dbo","pub_prrg_reg","prrg_state","Provider Registration Indicative Information","Provider Registration State","char"
"dbo","pub_prrg_reg","prrg_mctr_spec","Provider Registration Indicative Information","Provider Registration Specialty","char"
"dbo","pub_prrg_reg","prrg_cert_ind","Provider Registration Indicative Information","Provider Registration Certification Indicator","char"
"dbo","pub_prrg_reg","prrg_sts","Provider Registration Indicative Information","Provider Registration Status","char"
"dbo","pub_prrg_reg","prrg_last_ver_dt","Provider Registration Indicative Information","Provider Registration Last Verification Date","datetime"
"dbo","pub_prrg_reg","prrg_init_ver_dt","Provider Registration Indicative Information","Provider Registration Initial Verification Date","datetime"
"dbo","pub_prrg_reg","prrg_next_ver_dt","Provider Registration Indicative Information","Provider Registration Next Verification Request","datetime"
"dbo","pub_prrg_reg","prrg_rcvd_ver_dt","Provider Registration Indicative Information","Provider Registration Verification Received Date","datetime"
"dbo","pub_prrg_reg","prrg_mctr_vsrc","Provider Registration Indicative Information","Provider Registration Verification Source","char"
"dbo","pub_prrg_reg","prrg_prim_ver_ind","Provider Registration Indicative Information","Provider Registration Primary Verification Indicator","char"
"dbo","pub_prrg_reg","prrg_mctr_vrsl","Provider Registration Indicative Information","Provider Registration Verification Result","char"
"dbo","pub_prrg_reg","prrg_last_ver_name","Provider Registration Indicative Information","Provider Registration Last Name Verified by","char"
"dbo","pub_prrg_reg","prrg_mctr_vmth","Provider Registration Indicative Information","Provider Registration Verification Method","char"
"dbo","pub_prrg_reg","prrg_lock_token","Provider Registration Indicative Information","Lock Token","smallint"
"dbo","pub_prrg_reg","atxr_source_id","Provider Registration Indicative Information","Attachment Source Id","datetime"
