"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prsq_site_qa","pubh_prsq_row_id","User Defined Site Visit Descriptions","Row Identifier","numeric"
"dbo","pub_prsq_site_qa","pubh_guid","User Defined Site Visit Descriptions","Globally Unique Identifier","char"
"dbo","pub_prsq_site_qa","pubh_action_cd","User Defined Site Visit Descriptions","Data Pub Action Code","char"
"dbo","pub_prsq_site_qa","pubh_lsn","User Defined Site Visit Descriptions","Log Sequence Number","varbinary"
"dbo","pub_prsq_site_qa","pubh_seq_val","User Defined Site Visit Descriptions","Transaction Sequence","varbinary"
"dbo","pub_prsq_site_qa","prpr_id","User Defined Site Visit Descriptions","Servicing Provider","char"
"dbo","pub_prsq_site_qa","prad_id","User Defined Site Visit Descriptions","Provider Address ID","char"
"dbo","pub_prsq_site_qa","prad_type","User Defined Site Visit Descriptions","Address Type","char"
"dbo","pub_prsq_site_qa","prad_eff_dt","User Defined Site Visit Descriptions","Provider Address (Type) Effective Date","datetime"
"dbo","pub_prsq_site_qa","prsq_last_ver_dt","User Defined Site Visit Descriptions","Provider Site Visit Last Date Verification Requested","datetime"
"dbo","pub_prsq_site_qa","prsq_mctr_item","User Defined Site Visit Descriptions","Provider Site Visit Item","char"
"dbo","pub_prsq_site_qa","prsq_init_ver_dt","User Defined Site Visit Descriptions","Provider Site Visit Initial Date Verification Request","datetime"
"dbo","pub_prsq_site_qa","prsq_next_ver_dt","User Defined Site Visit Descriptions","Provider Site Visit Next Date Verification Requested","datetime"
"dbo","pub_prsq_site_qa","prsq_rcvd_ver_dt","User Defined Site Visit Descriptions","Provider Site Visit Date Verification Received","datetime"
"dbo","pub_prsq_site_qa","prsq_mctr_vsrc","User Defined Site Visit Descriptions","Provider Site Visit Verification Source","char"
"dbo","pub_prsq_site_qa","prsq_prim_ver_ind","User Defined Site Visit Descriptions","Provider Site Visit Verification Indicator","char"
"dbo","pub_prsq_site_qa","prsq_mctr_vrsl","User Defined Site Visit Descriptions","Provider Site Visit Verification Result","char"
"dbo","pub_prsq_site_qa","prsq_last_ver_name","User Defined Site Visit Descriptions","Provider Site Visit Verified By","char"
"dbo","pub_prsq_site_qa","prsq_mctr_vmth","User Defined Site Visit Descriptions","Provider Site Visit Verification Method","char"
"dbo","pub_prsq_site_qa","prsq_comment","User Defined Site Visit Descriptions","Provider Site Visit Comments","char"
"dbo","pub_prsq_site_qa","prsq_lock_token","User Defined Site Visit Descriptions","Lock Token","smallint"
"dbo","pub_prsq_site_qa","atxr_source_id","User Defined Site Visit Descriptions","Attachment Source Id","datetime"
