"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","pub_prwm_pr_msg","pubh_prwm_row_id","Provider User Warning Message Table","Row Identifier","numeric"
"dbo","pub_prwm_pr_msg","pubh_guid","Provider User Warning Message Table","Globally Unique Identifier","char"
"dbo","pub_prwm_pr_msg","pubh_action_cd","Provider User Warning Message Table","Data Pub Action Code","char"
"dbo","pub_prwm_pr_msg","pubh_lsn","Provider User Warning Message Table","Log Sequence Number","varbinary"
"dbo","pub_prwm_pr_msg","pubh_seq_val","Provider User Warning Message Table","Transaction Sequence","varbinary"
"dbo","pub_prwm_pr_msg","prpr_id","Provider User Warning Message Table","Servicing Provider","char"
"dbo","pub_prwm_pr_msg","prwm_eff_dt","Provider User Warning Message Table","Effective Date","datetime"
"dbo","pub_prwm_pr_msg","wmds_seq_no","Provider User Warning Message Table","User Defined Warning Message","smallint"
"dbo","pub_prwm_pr_msg","prwm_term_dt","Provider User Warning Message Table","Termination Date","datetime"
"dbo","pub_prwm_pr_msg","prwm_mctr_trsn","Provider User Warning Message Table","Termination Reason","char"
"dbo","pub_prwm_pr_msg","prwm_lock_token","Provider User Warning Message Table","Lock Token","smallint"
"dbo","pub_prwm_pr_msg","atxr_source_id","Provider User Warning Message Table","Attachment Source Id","datetime"
"dbo","pub_prwm_pr_msg","sys_last_upd_dtm","Provider User Warning Message Table","Last Update Datetime","datetime"
"dbo","pub_prwm_pr_msg","sys_usus_id","Provider User Warning Message Table","Last Update User ID","varchar"
"dbo","pub_prwm_pr_msg","sys_dbuser_id","Provider User Warning Message Table","Last Update DBMS User ID","varchar"
